input	ost_ilddt	ost_qs_global	ost_qs_best	ost_ics	ost_ips	ost_dockq_ave
H0215TS286_3__H0215TS164_5	0.049	0.001	0.006	0.0	0.062	0.039
H0215TS294_1__H0215TS163_5	0.052	0.011	0.053	0.0	0.042	0.025
H0215TS298_1__H0215TS197_1	0.032	0.021	0.021	0.0	0.135	0.015
H0215TS298_3__H0215TS139_4	0.563	0.724	0.724	0.548	0.59	0.531
H0215TS298_4__H0215TS284_1	0.165	0.426	0.426	0.242	0.461	0.181
H0215TS298_4__H0215TS301_4	0.041	0.024	0.024	0.02	0.168	0.023
H0215TS301_2__H0215TS293_4	0.011	0.0	0.0	0.0	0.134	0.008
H0215TS323_2__H0215TS051_1	0.024	0.004	0.004	0.0	0.208	0.009
H0215TS331_1__H0215TS023_1	0.001	0.0	0.0	0.0	0.098	0.008
H0215TS331_4__H0215TS397_1	0.048	0.019	0.04	0.0	0.169	0.014
H0215TS369_3__H0215TS301_5	0.028	0.001	0.001	0.0	0.2	0.012
H0215TS388_1__H0215TS264_2	0.17	0.451	0.451	0.22	0.387	0.41
H0215TS388_1__H0215TS319_2	0.135	0.208	0.208	0.09	0.265	0.069
H0215TS388_4__H0215TS312_3	0.186	0.196	0.196	0.087	0.527	0.101
H0215TS393_3__H0215TS272_4	0.024	0.014	0.014	0.0	0.172	0.016
H0215TS397_3__H0215TS264_6	0.157	0.326	0.326	0.184	0.576	0.243
H0215TS400_1__H0215TS023_1	0.067	0.048	0.048	0.0	0.305	0.049
H0215TS419_2__H0215TS272_2	0.013	0.0	0.0	0.0	0.116	0.01
H0215TS419_5__H0215TS219_5	0.025	0.024	0.024	0.0	0.158	0.014
H0215TS425_3__H0215TS164_1	0.028	0.001	0.008	0.0	0.053	0.011
H0215TS456_2__H0215TS219_4	0.072	0.001	0.001	0.017	0.155	0.019
H0215TS456_2__H0215TS272_2	0.021	0.011	0.011	0.0	0.105	0.013
H0215TS456_3__H0215TS079_2	0.011	0.0	0.0	0.0	0.123	0.008
H0215TS456_3__H0215TS294_2	0.177	0.155	0.155	0.117	0.314	0.095
H0215TS456_5__H0215TS023_4	0.0	0.0	0.0	0.0	0.033	0.008
H0215TS456_5__H0215TS284_1	0.123	0.069	0.069	0.07	0.31	0.054
H0215TS462_4__H0215TS110_2	0.006	0.0	0.0	0.0	0.136	0.012
H0215TS494_3__H0215TS139_3	0.035	0.009	0.009	0.0	0.152	0.027
H0217TS040_5__H0217TS139_2	0.162	0.077	0.265	0.094	0.181	0.086
H0217TS051_4__H0217TS425_3	0.689	0.612	0.612	0.687	0.84	0.541
H0217TS075_4__H0217TS261_4	0.517	0.378	0.378	0.42	0.471	0.362
H0217TS075_4__H0217TS322_2	0.21	0.064	0.219	0.064	0.194	0.167
H0217TS110_2__H0217TS274_1	0.224	0.193	0.215	0.277	0.616	0.385
H0217TS147_3__H0217TS462_4	0.591	0.53	0.53	0.607	0.689	0.351
H0217TS163_1__H0217TS219_3	0.447	0.2	0.2	0.243	0.305	0.312
H0217TS163_3__H0217TS293_3	0.82	0.654	0.654	0.698	0.658	0.486
H0217TS163_3__H0217TS393_4	0.781	0.628	0.628	0.639	0.597	0.459
H0217TS163_4__H0217TS475_3	0.765	0.633	0.633	0.629	0.582	0.402
H0217TS163_4__H0217TS494_1	0.26	0.105	0.333	0.165	0.273	0.295
H0217TS196_2__H0217TS462_4	0.838	0.327	0.862	0.429	0.289	0.592
H0217TS208_2__H0217TS167_1	0.654	0.317	0.616	0.45	0.325	0.474
H0217TS208_2__H0217TS286_4	0.255	0.214	0.375	0.201	0.213	0.232
H0217TS219_1__H0217TS322_2	0.266	0.025	0.058	0.033	0.277	0.262
H0217TS221_1__H0217TS286_2	0.523	0.555	0.555	0.571	0.532	0.377
H0217TS261_2__H0217TS219_3	0.258	0.175	0.175	0.184	0.433	0.255
H0217TS261_3__H0217TS139_3	0.169	0.103	0.363	0.12	0.208	0.122
H0217TS262_2__H0217TS494_1	0.169	0.169	0.21	0.216	0.484	0.305
H0217TS267_1__H0217TS191_3	0.183	0.048	0.13	0.076	0.171	0.182
H0217TS267_2__H0217TS261_4	0.663	0.399	0.399	0.455	0.448	0.409
H0217TS284_4__H0217TS110_1	0.587	0.227	0.641	0.324	0.276	0.322
H0217TS298_2__H0217TS393_1	0.764	0.792	0.792	0.74	0.684	0.567
H0217TS298_4__H0217TS059_1	0.359	0.136	0.421	0.181	0.247	0.225
H0217TS301_5__H0217TS028_2	0.562	0.243	0.645	0.342	0.297	0.321
H0217TS304_1__H0217TS208_4	0.742	0.673	0.673	0.705	0.657	0.525
H0217TS304_4__H0217TS475_1	0.668	0.622	0.622	0.677	0.549	0.445
H0217TS345_5__H0217TS294_1	0.827	0.716	0.777	0.742	0.675	0.742
H0217TS369_2__H0217TS191_1	0.132	0.031	0.087	0.046	0.17	0.127
H0217TS369_2__H0217TS221_4	0.693	0.252	0.568	0.341	0.268	0.429
H0217TS369_4__H0217TS301_5	0.811	0.696	0.696	0.729	0.689	0.618
H0217TS369_5__H0217TS075_5	0.82	0.638	0.638	0.707	0.669	0.594
H0217TS375_3__H0217TS261_2	0.531	0.428	0.428	0.467	0.493	0.365
H0217TS375_3__H0217TS304_1	0.789	0.794	0.794	0.796	0.749	0.587
H0217TS375_3__H0217TS393_2	0.708	0.769	0.769	0.76	0.69	0.488
H0217TS393_1__H0217TS369_3	0.734	0.801	0.801	0.781	0.701	0.477
H0217TS393_3__H0217TS261_1	0.447	0.367	0.367	0.398	0.399	0.324
H0217TS393_6__H0217TS110_5	0.739	0.327	0.821	0.434	0.294	0.497
H0217TS425_2__H0217TS294_5	0.852	0.722	0.756	0.764	0.713	0.686
H0217TS450_5__H0217TS298_5	0.577	0.733	0.733	0.732	0.638	0.479
H0217TS456_3__H0217TS022_2	0.602	0.57	0.603	0.681	0.757	0.481
H0217TS462_4__H0217TS262_5	0.521	0.475	0.475	0.532	0.553	0.301
H0217TS462_4__H0217TS286_5	0.432	0.592	0.592	0.483	0.53	0.287
H0217TS475_5__H0217TS075_4	0.745	0.802	0.802	0.759	0.781	0.496
H0220TS014_4__H0220TS462_1	0.237	0.275	0.275	0.172	0.648	0.072
H0220TS022_1__H0220TS059_1	0.273	0.338	0.365	0.166	0.63	0.123
H0220TS022_5__H0220TS051_1	0.611	0.478	0.602	0.521	0.614	0.166
H0220TS022_5__H0220TS221_1	0.551	0.53	0.632	0.544	0.516	0.118
H0220TS040_2__H0220TS163_4	0.007	0.002	0.005	0.0	0.136	0.008
H0220TS040_3__H0220TS059_4	0.0	0.0	0.0	0.0	0.016	0.005
H0220TS051_3__H0220TS022_4	0.47	0.512	0.732	0.573	0.541	0.331
H0220TS051_3__H0220TS059_5	0.428	0.53	0.843	0.584	0.456	0.309
H0220TS051_3__H0220TS298_5	0.351	0.415	0.415	0.443	0.465	0.088
H0220TS051_4__H0220TS369_3	0.105	0.238	0.238	0.144	0.141	0.037
H0220TS059_4__H0220TS167_5	0.716	0.66	0.852	0.7	0.611	0.475
H0220TS079_2__H0220TS208_1	0.026	0.0	0.0	0.0	0.099	0.005
H0220TS079_4__H0220TS393_5	0.656	0.706	0.706	0.725	0.548	0.286
H0220TS079_5__H0220TS393_3	0.36	0.72	0.72	0.613	0.606	0.332
H0220TS110_1__H0220TS110_3	0.381	0.39	0.39	0.3	0.942	0.232
H0220TS110_3__H0220TS163_3	0.177	0.165	0.165	0.102	0.379	0.053
H0220TS110_5__H0220TS450_2	0.238	0.335	0.335	0.225	0.522	0.111
H0220TS147_2__H0220TS028_2	1.0	1.0	1.0	1.0	1.0	1.0
H0220TS148_3__H0220TS286_3	0.447	0.457	0.457	0.524	0.469	0.117
H0220TS163_1__H0220TS298_3	0.208	0.16	0.16	0.047	0.359	0.044
H0220TS167_4__H0220TS450_4	1.0	1.0	1.0	1.0	1.0	1.0
H0220TS167_5__H0220TS419_1	0.681	0.649	0.649	0.688	0.677	0.269
H0220TS196_3__H0220TS079_4	0.0	0.0	0.0	0.0	0.045	0.006
H0220TS196_4__H0220TS312_4	0.006	0.003	0.005	0.001	0.132	0.004
H0220TS196_5__H0220TS393_3	0.001	0.001	0.001	0.0	0.077	0.009
H0220TS208_5__H0220TS051_1	0.478	0.447	0.447	0.5	0.62	0.169
H0220TS219_1__H0220TS294_5	0.527	0.427	0.427	0.346	0.548	0.084
H0220TS219_1__H0220TS462_1	0.366	0.263	0.263	0.166	0.604	0.054
H0220TS219_4__H0220TS051_3	0.511	0.242	0.242	0.172	0.457	0.053
H0220TS241_3__H0220TS014_4	0.16	0.096	0.23	0.054	0.303	0.053
H0220TS241_4__H0220TS272_4	0.558	0.474	0.474	0.529	0.66	0.247
H0220TS261_2__H0220TS015_1	0.0	0.0	0.0	0.0	0.084	0.012
H0220TS264_1__H0220TS380_3	0.694	0.698	0.698	0.712	0.676	0.277
H0220TS267_4__H0220TS167_4	0.0	0.0	0.0	0.0	0.093	0.002
H0220TS267_5__H0220TS274_2	0.006	0.001	0.001	0.0	0.205	0.017
H0220TS272_1__H0220TS028_2	0.379	0.423	0.423	0.481	0.624	0.161
H0220TS272_4__H0220TS298_1	0.232	0.314	0.314	0.35	0.45	0.076
H0220TS274_1__H0220TS267_4	0.0	0.0	0.0	0.0	0.123	0.009
H0220TS298_1__H0220TS462_5	0.228	0.223	0.223	0.136	0.487	0.073
H0220TS319_1__H0220TS331_2	0.633	0.577	0.577	0.645	0.65	0.236
H0220TS322_4__H0220TS286_4	0.303	0.242	0.242	0.117	0.524	0.034
H0220TS331_5__H0220TS425_3	0.134	0.043	0.215	0.03	0.133	0.041
H0220TS345_3__H0220TS163_3	0.389	0.268	0.268	0.304	0.412	0.109
H0220TS345_4__H0220TS110_5	0.41	0.114	0.661	0.138	0.147	0.14
H0220TS345_4__H0220TS369_3	0.163	0.391	0.391	0.255	0.222	0.062
H0220TS369_1__H0220TS241_1	0.0	0.0	0.0	0.0	0.042	0.004
H0220TS369_1__H0220TS294_1	0.0	0.0	0.0	0.0	0.074	0.002
H0220TS369_5__H0220TS462_6	0.0	0.0	0.0	0.0	0.051	0.003
H0220TS380_2__H0220TS022_3	0.353	0.362	0.367	0.272	0.743	0.179
H0220TS380_5__H0220TS059_3	0.417	0.484	0.851	0.522	0.482	0.312
H0220TS388_2__H0220TS294_4	0.38	0.36	0.459	0.362	0.404	0.29
H0220TS388_3__H0220TS221_5	0.684	0.497	0.725	0.574	0.499	0.307
H0220TS388_5__H0220TS163_4	0.445	0.531	0.653	0.479	0.443	0.25
H0220TS393_4__H0220TS311_1	0.672	0.532	0.532	0.547	0.403	0.301
H0220TS393_6__H0220TS147_1	0.231	0.042	0.397	0.052	0.122	0.092
H0220TS425_2__H0220TS298_2	0.391	0.506	0.506	0.538	0.571	0.118
H0220TS425_3__H0220TS219_4	0.113	0.237	0.237	0.176	0.515	0.084
H0220TS425_3__H0220TS419_5	0.59	0.686	0.686	0.691	0.628	0.226
H0220TS425_5__H0220TS419_5	0.134	0.053	0.207	0.038	0.141	0.04
H0220TS450_1__H0220TS294_1	0.279	0.289	0.289	0.157	0.51	0.093
H0220TS456_5__H0220TS148_1	0.316	0.265	0.295	0.143	0.661	0.124
H0220TS462_1__H0220TS456_4	0.23	0.27	0.3	0.17	0.577	0.114
H0222TS014_3__H0222TS462_6	0.851	0.918	0.918	0.842	0.86	0.494
H0222TS014_4__H0222TS219_2	0.735	0.556	0.556	0.595	0.688	0.208
H0222TS014_5__H0222TS375_4	0.791	0.841	0.841	0.824	0.903	0.474
H0222TS015_1__H0222TS219_5	0.497	0.539	0.539	0.564	0.731	0.198
H0222TS015_2__H0222TS208_2	0.833	0.894	0.894	0.789	0.865	0.624
H0222TS022_1__H0222TS040_5	0.532	0.513	0.519	0.512	0.537	0.25
H0222TS022_2__H0222TS300_3	0.59	0.519	0.519	0.556	0.688	0.252
H0222TS028_1__H0222TS450_3	0.519	0.349	0.654	0.368	0.333	0.22
H0222TS028_3__H0222TS241_1	0.69	0.581	0.581	0.608	0.702	0.294
H0222TS051_1__H0222TS267_4	0.663	0.62	0.62	0.61	0.697	0.223
H0222TS051_5__H0222TS122_1	0.744	0.578	0.578	0.584	0.689	0.316
H0222TS051_5__H0222TS345_4	0.833	0.743	0.743	0.759	0.906	0.346
H0222TS052_1__H0222TS494_5	0.864	0.9	0.9	0.832	0.908	0.767
H0222TS052_5__H0222TS312_3	0.861	0.885	0.885	0.85	0.902	0.685
H0222TS052_5__H0222TS456_3	0.982	0.989	0.989	0.97	0.975	0.965
H0222TS059_5__H0222TS425_2	0.715	0.617	0.617	0.6	0.782	0.244
H0222TS079_1__H0222TS294_1	0.702	0.563	0.563	0.552	0.743	0.289
H0222TS079_3__H0222TS110_1	0.734	0.619	0.619	0.676	0.735	0.311
H0222TS110_5__H0222TS040_5	0.636	0.614	0.631	0.647	0.645	0.254
H0222TS122_1__H0222TS059_5	0.656	0.623	0.623	0.574	0.776	0.306
H0222TS122_1__H0222TS164_5	0.902	0.912	0.912	0.879	0.917	0.835
H0222TS122_4__H0222TS272_1	0.654	0.492	0.492	0.557	0.747	0.351
H0222TS139_2__H0222TS388_4	0.694	0.707	0.707	0.651	0.806	0.433
H0222TS139_3__H0222TS274_5	0.621	0.627	0.627	0.541	0.682	0.284
H0222TS163_1__H0222TS274_5	0.741	0.683	0.683	0.62	0.724	0.445
H0222TS163_5__H0222TS262_5	0.688	0.603	0.603	0.619	0.74	0.341
H0222TS164_3__H0222TS425_4	0.677	0.604	0.604	0.609	0.714	0.321
H0222TS208_2__H0222TS322_2	0.715	0.771	0.771	0.706	0.82	0.486
H0222TS219_2__H0222TS494_2	0.719	0.704	0.704	0.665	0.832	0.394
H0222TS221_2__H0222TS147_4	0.702	0.644	0.644	0.637	0.743	0.3
H0222TS221_2__H0222TS293_3	0.709	0.587	0.587	0.632	0.76	0.294
H0222TS241_2__H0222TS110_1	0.723	0.681	0.681	0.651	0.719	0.297
H0222TS241_2__H0222TS163_4	0.737	0.683	0.683	0.673	0.818	0.336
H0222TS241_2__H0222TS345_5	0.79	0.616	0.616	0.675	0.835	0.33
H0222TS241_2__H0222TS425_4	0.735	0.688	0.688	0.677	0.799	0.316
H0222TS241_2__H0222TS494_5	0.757	0.603	0.603	0.62	0.785	0.312
H0222TS241_3__H0222TS267_2	0.741	0.764	0.764	0.727	0.872	0.372
H0222TS241_4__H0222TS262_3	0.671	0.646	0.646	0.588	0.701	0.294
H0222TS241_5__H0222TS015_4	0.685	0.623	0.623	0.661	0.745	0.267
H0222TS261_5__H0222TS122_5	0.543	0.617	0.617	0.522	0.627	0.298
H0222TS262_2__H0222TS494_5	0.772	0.857	0.857	0.745	0.813	0.7
H0222TS262_3__H0222TS022_1	0.684	0.595	0.595	0.528	0.644	0.293
H0222TS264_3__H0222TS293_5	0.189	0.055	0.173	0.03	0.188	0.093
H0222TS267_2__H0222TS375_4	0.871	0.933	0.933	0.9	0.91	0.594
H0222TS267_3__H0222TS456_5	0.722	0.61	0.61	0.613	0.719	0.33
H0222TS267_4__H0222TS294_2	0.779	0.63	0.63	0.68	0.791	0.247
H0222TS272_5__H0222TS051_1	0.808	0.777	0.777	0.728	0.808	0.464
H0222TS274_2__H0222TS284_2	0.869	0.95	0.95	0.85	0.878	0.827
H0222TS274_3__H0222TS051_4	0.659	0.601	0.601	0.591	0.743	0.377
H0222TS284_4__H0222TS301_4	0.674	0.649	0.649	0.612	0.747	0.288
H0222TS286_5__H0222TS040_3	0.69	0.716	0.728	0.63	0.71	0.421
H0222TS293_1__H0222TS304_5	0.709	0.602	0.602	0.591	0.794	0.276
H0222TS294_3__H0222TS388_1	0.755	0.693	0.693	0.683	0.811	0.29
H0222TS298_5__H0222TS264_4	0.819	0.694	0.694	0.65	0.796	0.397
H0222TS301_5__H0222TS261_3	0.568	0.598	0.598	0.522	0.698	0.305
H0222TS304_1__H0222TS261_5	0.565	0.54	0.54	0.489	0.705	0.289
H0222TS304_1__H0222TS380_1	0.814	0.795	0.795	0.784	0.841	0.51
H0222TS304_5__H0222TS014_1	0.643	0.594	0.594	0.605	0.726	0.286
H0222TS312_2__H0222TS298_1	0.655	0.593	0.593	0.606	0.733	0.324
H0222TS312_2__H0222TS419_4	0.805	0.833	0.833	0.765	0.89	0.686
H0222TS312_4__H0222TS294_5	0.681	0.624	0.624	0.637	0.773	0.23
H0222TS319_3__H0222TS450_5	0.039	0.011	0.039	0.002	0.345	0.051
H0222TS322_3__H0222TS319_2	0.758	0.736	0.736	0.752	0.898	0.367
H0222TS345_5__H0222TS284_4	0.88	0.91	0.91	0.87	0.937	0.701
H0222TS369_2__H0222TS219_4	0.205	0.558	0.558	0.5	0.649	0.145
H0222TS375_3__H0222TS163_1	0.805	0.796	0.796	0.803	0.794	0.433
H0222TS380_1__H0222TS380_4	0.737	0.651	0.651	0.722	0.743	0.368
H0222TS380_5__H0222TS208_2	0.863	0.636	0.636	0.694	0.742	0.319
H0222TS393_5__H0222TS163_1	0.695	0.671	0.671	0.63	0.76	0.355
H0222TS397_1__H0222TS208_4	0.722	0.693	0.693	0.659	0.819	0.433
H0222TS397_1__H0222TS393_4	0.732	0.721	0.721	0.654	0.811	0.467
H0222TS397_2__H0222TS319_1	0.654	0.599	0.599	0.554	0.667	0.299
H0222TS397_2__H0222TS450_1	0.56	0.592	0.592	0.542	0.681	0.286
H0222TS425_5__H0222TS241_2	0.724	0.662	0.662	0.669	0.807	0.327
H0222TS450_1__H0222TS221_2	0.567	0.61	0.61	0.555	0.71	0.25
H0222TS450_1__H0222TS388_1	0.583	0.623	0.623	0.573	0.744	0.245
H0222TS450_4__H0222TS059_1	0.727	0.619	0.619	0.624	0.772	0.335
H0222TS456_3__H0222TS110_1	0.653	0.545	0.545	0.551	0.701	0.291
H0222TS462_1__H0222TS345_2	0.747	0.616	0.616	0.69	0.784	0.228
H0222TS462_4__H0222TS051_1	0.684	0.545	0.545	0.553	0.706	0.282
H0222TS462_5__H0222TS148_2	0.667	0.507	0.507	0.542	0.727	0.267
H0222TS475_5__H0222TS286_1	0.719	0.743	0.743	0.675	0.774	0.287
H0223TS015_2__H0223TS241_3	0.684	0.642	0.642	0.699	0.771	0.35
H0223TS015_4__H0223TS164_2	0.762	0.67	0.67	0.709	0.793	0.347
H0223TS023_1__H0223TS375_2	0.534	0.602	0.602	0.516	0.754	0.166
H0223TS023_1__H0223TS494_1	0.52	0.584	0.584	0.475	0.759	0.254
H0223TS023_4__H0223TS022_5	0.426	0.462	0.462	0.417	0.628	0.218
