input	cv1_target_residues	cv1_model_residues	cv1_target_atoms	cv1_model_atoms	cv3_target_atoms	cv3_model_atoms	cv4_target_atoms	cv4_model_atoms	old_global_score	voronota_js_global_score	cadscore_lt_global_score	cadscore_lt_global_f1	cadscore_lt_rm_global_score	cadscore_lt_rm_global_f1	cadscore_lt_r_global_score	cadscore_lt_r_global_f1	old_iface_score	voronota_js_iface_score	cadscore_lt_iface_score	cadscore_lt_iface_f1	cadscore_lt_rm_iface_score	cadscore_lt_rm_iface_f1	cadscore_lt_r_iface_score	cadscore_lt_r_iface_f1	old_global_time	voronota_js_global_time	cadscore_lt_global_time	cadscore_lt_rm_global_time	cadscore_lt_r_global_time	old_iface_time	voronota_js_iface_time	cadscore_lt_iface_time	cadscore_lt_rm_iface_time	cadscore_lt_r_iface_time	voronota_js_lt_global_score	voronota_js_lt_global_time	voronota_js_lt_iface_score	voronota_js_lt_iface_time
H0208TS051_4__H0208TS163_2	646	1292	5094	10188	5094	10188	5094	10188	0.876241	0.87953	0.880103	0.614064	0.880103	0.614064	0.880103	0.614064	0.690243	0.71767	0.717982	0.49485	0.719478	0.496288	0.717982	0.49485	8.88	11.11	0.48	0.52	0.53	7.75	1.16	0.11	0.14	0.13	0.8801	1.47	0.71798	0.43
H0208TS052_3__H0208TS284_4	646	646	5092	5094	5092	5094	5092	5094	0.857087	0.86289	0.863237	0.906671	0.863237	0.906671	0.863237	0.906671	0.687266	0.69285	0.693224	0.770982	0.693224	0.770982	0.693224	0.770982	5.89	6.77	0.33	0.30	0.31	5.37	0.65	0.07	0.08	0.10	0.86324	0.93	0.69322	0.30
H0208TS052_4__H0208TS393_6	646	646	5092	5094	5092	5094	5092	5094	0.846288	0.85076	0.85078	0.904855	0.85078	0.904855	0.85078	0.904855	0.702437	0.70296	0.70344	0.774186	0.70344	0.774186	0.70344	0.774186	5.77	7.50	0.30	0.34	0.38	5.47	0.72	0.08	0.09	0.10	0.85078	0.95	0.70344	0.31
H0208TS059_1__H0208TS221_3	646	646	5092	5094	5092	5094	5092	5094	0.821076	0.82115	0.821592	0.883929	0.821592	0.883929	0.821592	0.883929	0.637406	0.64985	0.653115	0.714263	0.653115	0.714263	0.653115	0.714263	5.62	6.88	0.31	0.30	0.31	4.73	0.56	0.06	0.08	0.11	0.82159	0.95	0.65312	0.29
H0208TS075_3__H0208TS312_1	646	646	5092	5094	5092	5094	5092	5094	0.889736	0.90433	0.904804	0.944947	0.904804	0.944947	0.904804	0.944947	0.756928	0.77434	0.775995	0.856298	0.775995	0.856298	0.775995	0.856298	5.56	7.12	0.32	0.33	0.33	5.34	0.74	0.09	0.13	0.08	0.9048	0.96	0.77599	0.30
H0208TS079_1__H0208TS196_3	646	646	5092	5094	5092	5094	5092	5094	0.886401	0.89673	0.897192	0.93563	0.897192	0.93563	0.897192	0.93563	0.793219	0.80215	0.803953	0.857473	0.803953	0.857473	0.803953	0.857473	5.67	7.29	0.31	0.34	0.32	5.52	0.58	0.09	0.09	0.09	0.89719	0.94	0.80395	0.30
H0208TS114_4__H0208TS294_4	1282	646	10042	5094	10042	5094	10042	5094	0.244992	0.23334	0.232733	0.36077	0.336052	0.501409	0.336052	0.501409	0	0	0	0	0.004814	0.0066	0.004814	0.0066	9.25	11.14	0.44	0.46	0.47	7.99	1.09	0.10	0.14	0.13	0.23273	1.40	0	0.43
H0208TS122_5__H0208TS023_2	646	646	5092	5094	5092	5094	5092	5094	0.420427	0.38882	0.387347	0.499056	0.387347	0.499056	0.387347	0.499056	0.0102818	0.01021	0.009948	0.018504	0.009948	0.018504	0.009948	0.018504	5.03	6.54	0.28	0.31	0.31	4.92	0.70	0.06	0.08	0.09	0.38735	0.91	0.00995	0.30
H0208TS122_5__H0208TS272_2	646	646	5092	5092	5092	5092	5092	5092	0.912799	0.91445	0.914366	0.940276	0.914366	0.940276	0.914366	0.940276	0.76601	0.76507	0.766856	0.816661	0.766856	0.816661	0.766856	0.816661	5.10	7.16	0.31	0.32	0.33	5.53	0.69	0.07	0.09	0.14	0.91437	0.97	0.76686	0.33
H0208TS147_2__H0208TS040_1	2584	646	20376	5094	20376	5094	20376	5094	0.17598	0.1742	0.174144	0.312692	0.177599	0.319709	0.174144	0.312692	0	0	0	0	0.048846	0.112293	0	0	16.48	19.16	0.82	0.88	0.86	15.46	2.43	0.20	0.25	0.24	0.17414	2.44	0	0.77
H0208TS147_3__H0208TS015_4	2584	1292	20376	10188	20376	10188	20376	10188	0.360972	0.35692	0.35657	0.520897	0.359519	0.52544	0.35657	0.520897	0.111171	0.12191	0.122497	0.174418	0.158446	0.222987	0.122497	0.174418	19.55	22.72	0.98	1.61	1.01	18.81	3.57	0.26	0.36	0.39	0.35657	2.96	0.1225	0.95
H0208TS147_3__H0208TS284_3	2584	646	20376	5094	20376	5094	20376	5094	0.216534	0.21636	0.216368	0.366399	0.216368	0.366399	0.216368	0.366399	0.131968	0.13359	0.133886	0.24498	0.13461	0.244982	0.133886	0.24498	15.36	19.20	0.76	0.84	0.81	14.64	2.80	0.18	0.24	0.22	0.21637	2.38	0.13389	0.72
H0208TS148_2__H0208TS079_4	646	646	5094	5092	5094	5092	5094	5092	0.858151	0.86413	0.864345	0.917844	0.864345	0.917844	0.864345	0.917844	0.751561	0.76301	0.766119	0.84042	0.766119	0.84042	0.766119	0.84042	4.62	7.06	0.29	0.30	0.31	5.42	0.52	0.06	0.08	0.08	0.86435	0.87	0.76612	0.29
H0208TS164_5__H0208TS163_2	1292	1292	10188	10188	10188	10188	10188	10188	0.953611	0.96159	0.961787	0.980369	0.961787	0.980369	0.961787	0.980369	0.909951	0.91732	0.917845	0.955539	0.918404	0.955833	0.917845	0.955539	12.26	15.01	0.60	0.64	0.64	11.84	1.73	0.13	0.19	0.17	0.96179	1.89	0.91785	0.57
H0208TS164_5__H0208TS494_4	1292	1292	10188	10184	10188	10184	10188	10184	0.802918	0.81526	0.816085	0.884743	0.816085	0.884743	0.816085	0.884743	0.666415	0.70379	0.706257	0.781101	0.706465	0.781212	0.706257	0.781101	12.66	14.94	0.60	0.64	0.65	12.08	1.94	0.15	0.24	0.17	0.81608	1.88	0.70626	0.58
H0208TS167_1__H0208TS114_4	646	1282	5094	10042	5094	10042	5094	10042	0.422772	0.40193	0.40043	0.321335	0.562909	0.440368	0.560209	0.438435	0	0	0	0	0.001461	0.004813	0	0	8.08	9.98	0.44	0.47	0.51	7.86	1.12	0.11	0.12	0.12	0.40043	1.42	0	0.43
H0208TS167_1__H0208TS196_4	646	646	5094	5094	5094	5094	5094	5094	0.574377	0.55686	0.555299	0.660474	0.555299	0.660474	0.555299	0.660474	0.0460651	0.04983	0.050505	0.062843	0.050505	0.062843	0.050505	0.062843	4.42	7.18	0.30	0.33	0.31	5.30	0.50	0.07	0.08	0.09	0.5553	0.97	0.0505	0.29
H0208TS167_2__H0208TS345_3	1292	1292	10188	10188	10188	10188	10188	10188	0.872933	0.87264	0.872245	0.915084	0.872245	0.915084	0.872245	0.915084	0.627765	0.62956	0.629241	0.69674	0.629241	0.69674	0.629241	0.69674	12.73	15.80	0.60	0.67	0.72	11.56	1.90	0.15	0.18	0.20	0.87225	1.88	0.62924	0.63
H0208TS167_3__H0208TS425_1	646	1292	5094	10188	5094	10188	5094	10188	0.581598	0.5599	0.559519	0.40713	0.837403	0.588113	0.802832	0.56291	0	0	0	0	0.614158	0.403055	0	0	8.97	10.98	0.45	0.53	0.49	8.86	1.28	0.11	0.14	0.13	0.55952	1.45	0	0.46
H0208TS187_1__H0208TS219_5	646	646	5092	5092	5092	5092	5092	5092	0.406015	0.3857	0.38554	0.45957	0.38554	0.45957	0.38554	0.45957	0.0651896	0.07635	0.077295	0.109502	0.077295	0.109502	0.077295	0.109502	5.81	6.95	0.28	0.31	0.29	5.11	0.54	0.07	0.08	0.08	0.38554	0.91	0.0773	0.29
H0208TS191_3__H0208TS023_2	646	646	5092	5094	5092	5094	5092	5094	0.41669	0.38407	0.382714	0.495793	0.382714	0.495793	0.382714	0.495793	0.00683012	0.00411	0.003818	0.010992	0.003818	0.010992	0.003818	0.010992	5.40	6.46	0.28	0.31	0.30	5.54	0.61	0.07	0.08	0.10	0.38271	0.93	0.00382	0.31
H0208TS196_4__H0208TS425_3	646	974	5094	7714	5094	7714	5094	7714	0.595494	0.57168	0.571254	0.500418	0.887215	0.736184	0.842722	0.704269	0	0	0	0	0.69068	0.633374	0	0	6.97	8.85	0.38	0.39	0.40	7.06	0.93	0.08	0.10	0.11	0.57125	1.18	0	0.36
H0208TS208_1__H0208TS148_5	646	646	5094	5094	5094	5094	5094	5094	0.916398	0.92023	0.920415	0.950167	0.920415	0.950167	0.920415	0.950167	0.748554	0.78287	0.784758	0.865	0.784758	0.865	0.784758	0.865	5.50	7.14	0.30	0.30	0.30	5.09	0.77	0.07	0.09	0.08	0.92041	0.91	0.78476	0.30
H0208TS208_2__H0208TS122_5	646	646	5094	5092	5094	5092	5094	5092	0.8817	0.89111	0.891512	0.933266	0.891512	0.933266	0.891512	0.933266	0.678053	0.69061	0.691013	0.775886	0.691013	0.775886	0.691013	0.775886	5.44	7.08	0.29	0.30	0.30	5.35	0.73	0.07	0.08	0.09	0.89151	0.93	0.69101	0.24
H0208TS208_5__H0208TS167_3	646	646	5094	5094	5094	5094	5094	5094	0.839892	0.83391	0.83344	0.890848	0.83344	0.890848	0.83344	0.890848	0.631696	0.62594	0.626839	0.697492	0.626839	0.697492	0.626839	0.697492	5.78	6.92	0.30	0.30	0.31	5.25	0.73	0.07	0.10	0.09	0.83344	0.94	0.62684	0.29
H0208TS208_5__H0208TS196_2	646	646	5094	5094	5094	5094	5094	5094	0.89056	0.88761	0.887978	0.929707	0.887978	0.929707	0.887978	0.929707	0.676465	0.6648	0.666665	0.759547	0.666665	0.759547	0.666665	0.759547	5.82	7.29	0.31	0.34	0.32	5.51	0.65	0.07	0.09	0.10	0.88798	0.95	0.66666	0.30
H0208TS219_5__H0208TS419_1	646	646	5092	5094	5092	5094	5092	5094	0.757069	0.75653	0.756742	0.822367	0.756742	0.822367	0.756742	0.822367	0.239813	0.25976	0.261301	0.369831	0.261301	0.369831	0.261301	0.369831	5.71	7.56	0.31	0.32	0.32	4.82	0.69	0.07	0.11	0.09	0.75674	0.97	0.2613	0.29
H0208TS221_3__H0208TS110_4	646	1292	5094	10188	5094	10188	5094	10188	0.816761	0.81185	0.811775	0.567793	0.847212	0.59338	0.811775	0.567793	0	0	0	0	0.673751	0.429754	0	0	9.20	11.53	0.47	0.49	0.48	7.72	1.29	0.11	0.13	0.14	0.81178	1.41	0	0.44
H0208TS221_3__H0208TS267_1	646	646	5094	5094	5094	5094	5094	5094	0.852921	0.85878	0.859471	0.912856	0.859471	0.912856	0.859471	0.912856	0.692907	0.72466	0.726014	0.790167	0.726014	0.790167	0.726014	0.790167	5.47	7.24	0.28	0.31	0.31	5.41	0.74	0.07	0.10	0.10	0.85947	0.92	0.72601	0.30
H0208TS221_5__H0208TS208_5	646	646	5094	5094	5094	5094	5094	5094	0.86284	0.87092	0.871921	0.924309	0.871921	0.924309	0.871921	0.924309	0.716278	0.74128	0.745479	0.814738	0.745479	0.814738	0.745479	0.814738	5.87	7.26	0.32	0.33	0.33	5.48	0.53	0.07	0.08	0.08	0.87192	0.98	0.74548	0.30
H0208TS262_4__H0208TS052_4	646	646	5092	5092	5092	5092	5092	5092	0.788401	0.79212	0.792561	0.869688	0.792561	0.869688	0.792561	0.869688	0.512239	0.53981	0.540058	0.691381	0.540058	0.691381	0.540058	0.691381	5.77	7.09	0.33	0.34	0.33	5.25	0.76	0.07	0.09	0.11	0.79256	1.00	0.54006	0.31
H0208TS262_5__H0208TS312_2	646	646	5092	5094	5092	5094	5092	5094	0.82272	0.83285	0.833614	0.896317	0.833614	0.896317	0.833614	0.896317	0.627807	0.65314	0.654708	0.767405	0.654708	0.767405	0.654708	0.767405	5.80	7.32	0.31	0.39	0.32	5.31	0.79	0.08	0.09	0.10	0.83361	0.96	0.65471	0.32
H0208TS264_1__H0208TS369_4	646	646	5094	5094	5094	5094	5094	5094	0.8906	0.89818	0.89814	0.938748	0.89814	0.938748	0.89814	0.938748	0.764444	0.77418	0.775329	0.827507	0.775329	0.827507	0.775329	0.827507	5.61	7.10	0.29	0.31	0.32	4.95	0.78	0.07	0.08	0.09	0.89814	0.93	0.77533	0.29
H0208TS264_4__H0208TS191_2	646	646	5094	5092	5094	5092	5094	5092	0.833859	0.83832	0.838573	0.893397	0.838573	0.893397	0.838573	0.893397	0.618955	0.63083	0.634413	0.734747	0.634413	0.734747	0.634413	0.734747	5.52	7.12	0.29	0.31	0.34	5.33	0.69	0.08	0.09	0.09	0.83857	0.96	0.63441	0.31
H0208TS264_4__H0208TS304_4	646	646	5094	5094	5094	5094	5094	5094	0.907205	0.91121	0.910911	0.945887	0.910911	0.945887	0.910911	0.945887	0.771233	0.79201	0.790958	0.83633	0.790958	0.83633	0.790958	0.83633	5.23	6.91	0.29	0.30	0.31	5.47	0.74	0.07	0.08	0.08	0.91091	0.92	0.79096	0.25
H0208TS267_1__H0208TS284_5	646	646	5094	5094	5094	5094	5094	5094	0.849286	0.84456	0.844832	0.891436	0.844832	0.891436	0.844832	0.891436	0.654855	0.66229	0.664741	0.723964	0.664741	0.723964	0.664741	0.723964	5.53	7.57	0.29	0.32	0.40	5.13	0.64	0.07	0.09	0.10	0.84483	0.96	0.66474	0.29
H0208TS272_1__H0208TS040_2	646	646	5092	5094	5092	5094	5092	5094	0.681246	0.67257	0.672639	0.752322	0.672639	0.752322	0.672639	0.752322	0	0	0	0	0	0	0	0	5.03	6.90	0.29	0.31	0.31	5.11	0.57	0.07	0.08	0.10	0.67264	0.95	0	0.28
H0208TS272_2__H0208TS023_5	646	646	5092	5094	5092	5094	5092	5094	0.418228	0.38425	0.383164	0.496547	0.383164	0.496547	0.383164	0.496547	0	0	0	0	0	0	0	0	5.59	7.08	0.29	0.29	0.31	4.86	0.68	0.06	0.07	0.09	0.38316	0.90	0	0.28
H0208TS272_4__H0208TS075_1	646	646	5092	5092	5092	5092	5092	5092	0.810153	0.81288	0.812719	0.885899	0.812719	0.885899	0.812719	0.885899	0.599553	0.62084	0.621818	0.742289	0.621818	0.742289	0.621818	0.742289	5.86	7.07	0.33	0.32	0.31	5.12	0.64	0.07	0.09	0.09	0.81272	0.94	0.62182	0.31
H0208TS274_1__H0208TS219_1	1292	646	10184	5092	10184	5092	10184	5092	0.39345	0.39615	0.396673	0.577306	0.397947	0.578064	0.396673	0.577306	0.256219	0.25826	0.259218	0.40951	0.259218	0.40951	0.259218	0.40951	8.84	11.68	0.46	0.49	0.50	8.65	1.31	0.11	0.16	0.13	0.39667	1.44	0.25922	0.45
H0208TS274_5__H0208TS264_6	1292	646	10184	5094	10184	5094	10184	5094	0.399585	0.40169	0.401872	0.583604	0.401872	0.583604	0.401872	0.583604	0.24407	0.24577	0.245717	0.412718	0.245717	0.412718	0.245717	0.412718	9.04	11.56	0.46	0.54	0.47	8.59	1.33	0.11	0.13	0.15	0.40187	1.44	0.24572	0.44
H0208TS284_2__H0208TS014_4	646	1938	5094	15282	5094	15282	5094	15282	0.864761	0.87229	0.872778	0.454454	0.872778	0.454454	0.872778	0.454454	0.73431	0.73849	0.740169	0.309948	0.740169	0.309948	0.740169	0.309948	13.05	15.71	0.60	0.67	0.64	12.51	1.64	0.15	0.19	0.21	0.87278	1.91	0.74017	0.61
H0208TS284_4__H0208TS163_4	646	1292	5094	10188	5094	10188	5094	10188	0.894349	0.8987	0.8991	0.624015	0.8991	0.624015	0.8991	0.624015	0.780869	0.78791	0.78987	0.511967	0.78987	0.511967	0.78987	0.511967	9.14	11.26	0.54	0.48	0.49	8.90	0.95	0.10	0.13	0.13	0.8991	1.43	0.78987	0.43
H0208TS286_1__H0208TS164_4	646	1292	5094	10188	5094	10188	5094	10188	0.823552	0.82535	0.825694	0.575625	0.863137	0.603058	0.825694	0.575625	0	0	0	0	0.725791	0.467485	0	0	9.19	10.62	0.48	0.50	0.50	8.56	1.24	0.11	0.14	0.13	0.82569	1.43	0	0.43
H0208TS286_2__H0208TS122_2	646	646	5094	5094	5094	5094	5094	5094	0.853981	0.85726	0.857896	0.902977	0.857896	0.902977	0.857896	0.902977	0.686464	0.6935	0.694787	0.736771	0.694787	0.736771	0.694787	0.736771	5.79	7.31	0.29	0.36	0.30	5.51	0.65	0.09	0.09	0.10	0.8579	0.96	0.69479	0.29
H0208TS286_4__H0208TS400_1	646	646	5094	5094	5094	5094	5094	5094	0.670236	0.65763	0.657028	0.74264	0.657028	0.74264	0.657028	0.74264	0.154701	0.18888	0.188449	0.239886	0.188449	0.239886	0.188449	0.239886	5.44	7.30	0.30	0.36	0.30	5.08	0.71	0.07	0.09	0.10	0.65703	0.94	0.18845	0.29
H0208TS294_1__H0208TS423_5	1938	1292	15282	10184	15282	10184	15282	10184	0.44119	0.43432	0.434241	0.576195	0.550167	0.714148	0.536271	0.696251	0.00210734	0.0021	0.00213	0.002827	0.317004	0.470189	0.158443	0.236063	14.80	20.11	0.80	1.00	0.86	14.95	2.61	0.21	0.25	0.25	0.43424	2.45	0.00213	0.80
H0208TS294_2__H0208TS369_2	646	646	5094	5094	5094	5094	5094	5094	0.855755	0.85807	0.857613	0.906516	0.857613	0.906516	0.857613	0.906516	0.730577	0.7444	0.74369	0.790497	0.74369	0.790497	0.74369	0.790497	5.76	7.40	0.31	0.35	0.33	5.42	0.75	0.07	0.09	0.09	0.85761	0.95	0.74369	0.31
H0208TS294_3__H0208TS494_4	646	1292	5094	10184	5094	10184	5094	10184	0.792745	0.80039	0.80071	0.573619	0.80071	0.573619	0.80071	0.573619	0.616762	0.64782	0.649448	0.421561	0.6506	0.422883	0.649448	0.421561	9.13	11.25	0.48	0.53	0.50	8.44	1.32	0.11	0.14	0.16	0.80071	1.43	0.64945	0.45
H0208TS294_4__H0208TS122_5	646	646	5094	5092	5094	5092	5094	5092	0.869965	0.8751	0.87539	0.922676	0.87539	0.922676	0.87539	0.922676	0.703455	0.72019	0.720688	0.81712	0.720688	0.81712	0.720688	0.81712	5.39	7.34	0.30	0.32	0.39	4.21	0.54	0.07	0.08	0.08	0.87539	0.95	0.72069	0.29
H0208TS298_2__H0208TS300_4	646	964	5092	7568	5092	7568	5092	7568	0.491498	0.46797	0.467109	0.436753	0.667666	0.607274	0.667666	0.607274	0.000672123	0.00083	0.00083	0.000793	0.009366	0.010555	0.009366	0.010555	7.20	9.25	0.36	0.39	0.39	6.62	0.79	0.08	0.09	0.10	0.46711	1.15	0.00083	0.38
H0208TS298_4__H0208TS261_4	646	646	5092	5092	5092	5092	5092	5092	0.75123	0.75839	0.758205	0.828773	0.758205	0.828773	0.758205	0.828773	0.478413	0.51602	0.514898	0.543993	0.514898	0.543993	0.514898	0.543993	5.37	6.75	0.29	0.30	0.32	5.39	0.77	0.07	0.08	0.08	0.75821	0.95	0.5149	0.29
H0208TS298_5__H0208TS423_2	646	646	5094	5092	5094	5092	5094	5092	0.840887	0.84471	0.844595	0.896394	0.844595	0.896394	0.844595	0.896394	0.59966	0.62289	0.624085	0.72126	0.624085	0.72126	0.624085	0.72126	5.74	7.52	0.31	0.36	0.34	5.10	0.77	0.07	0.09	0.08	0.84459	0.97	0.62409	0.31
H0208TS300_2__H0208TS272_2	964	646	7568	5092	7568	5092	7568	5092	0.464062	0.45601	0.45594	0.605969	0.45594	0.605969	0.45594	0.605969	0.000668693	0.00309	0.003488	0.010775	0.004422	0.006674	0.003488	0.010775	6.94	8.87	0.37	0.38	0.37	6.76	0.61	0.11	0.11	0.10	0.45594	1.14	0.00349	0.35
H0208TS301_1__H0208TS388_4	646	646	5094	5092	5094	5092	5094	5092	0.833222	0.83325	0.832827	0.883962	0.832827	0.883962	0.832827	0.883962	0.616903	0.626	0.623166	0.708192	0.623166	0.708192	0.623166	0.708192	5.03	6.37	0.32	0.32	0.32	5.57	0.78	0.07	0.09	0.09	0.83283	0.93	0.62317	0.32
H0208TS301_4__H0208TS164_4	646	1292	5094	10188	5094	10188	5094	10188	0.813305	0.80618	0.806061	0.563442	0.841431	0.589505	0.806061	0.563442	0	0	0	0	0.673225	0.441972	0	0	8.29	11.62	0.48	0.49	0.47	8.34	1.16	0.11	0.12	0.13	0.80606	1.41	0	0.44
H0208TS304_1__H0208TS284_2	646	646	5094	5094	5094	5094	5094	5094	0.828278	0.82719	0.826795	0.881508	0.826795	0.881508	0.826795	0.881508	0.586957	0.60159	0.601756	0.709816	0.601756	0.709816	0.601756	0.709816	5.92	6.69	0.29	0.35	0.33	5.18	0.73	0.07	0.11	0.09	0.82679	0.93	0.60176	0.31
H0208TS304_4__H0208TS261_2	646	646	5094	5092	5094	5092	5094	5092	0.733344	0.7385	0.73865	0.814647	0.73865	0.814647	0.73865	0.814647	0.429685	0.46315	0.46194	0.519851	0.46194	0.519851	0.46194	0.519851	4.98	7.23	0.30	0.33	0.32	5.18	0.59	0.07	0.09	0.09	0.73865	0.95	0.46194	0.30
H0208TS319_2__H0208TS393_1	1292	646	10188	5094	10188	5094	10188	5094	0.291093	0.27821	0.27784	0.408662	0.426598	0.604571	0.426328	0.60431	0	0	0	0	0.307392	0.478871	0.307392	0.478871	8.41	11.37	0.47	0.51	0.49	8.99	1.19	0.12	0.20	0.14	0.27784	1.44	0	0.45
H0208TS322_1__H0208TS241_1	646	646	5092	5094	5092	5094	5092	5094	0.81844	0.81974	0.819855	0.879703	0.819855	0.879703	0.819855	0.879703	0.61496	0.62952	0.630203	0.6968	0.630203	0.6968	0.630203	0.6968	5.30	7.26	0.30	0.33	0.35	5.36	0.76	0.08	0.11	0.08	0.81986	0.96	0.6302	0.30
H0208TS322_2__H0208TS028_5	1292	2584	10184	20376	10184	20376	10184	20376	0.568484	0.54917	0.548693	0.400773	0.851505	0.597956	0.849773	0.596418	0	0	0	0	0.571822	0.376938	0.545096	0.359492	18.81	23.58	0.95	1.95	1.05	18.97	2.72	0.24	0.34	0.29	0.54869	2.91	0	0.89
H0208TS331_2__H0208TS221_3	646	646	5094	5094	5094	5094	5094	5094	0.83196	0.83622	0.836877	0.900403	0.836877	0.900403	0.836877	0.900403	0.641886	0.6572	0.660551	0.766554	0.660551	0.766554	0.660551	0.766554	5.74	7.15	0.31	0.34	0.32	5.30	0.72	0.07	0.09	0.09	0.83688	0.95	0.66055	0.29
H0208TS331_5__H0208TS167_1	1938	646	15282	5094	15282	5094	15282	5094	0.14692	0.13843	0.137949	0.249114	0.181984	0.323418	0.181961	0.322977	0	0	0	0	0.011041	0.021738	0.011034	0.021827	12.30	15.55	0.61	0.67	0.65	11.54	1.76	0.15	0.18	0.18	0.13795	1.92	0	0.64
H0208TS337_4__H0208TS322_3	646	1292	5094	10184	5094	10184	5094	10184	0.534815	0.50674	0.505506	0.375862	0.688781	0.499093	0.688781	0.499093	0	0	0	0	0.008313	0.005498	0.008313	0.005498	9.32	11.24	0.45	0.47	0.46	8.50	0.90	0.11	0.13	0.13	0.50551	1.39	0	0.43
H0208TS345_1__H0208TS051_1	1292	1292	10188	10188	10188	10188	10188	10188	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	12.21	15.27	0.61	0.63	0.61	11.58	1.80	0.16	0.17	0.17	1	1.87	1	0.61
