input	ost_ilddt	ost_qs_global	ost_qs_best	ost_ics	ost_ips	ost_dockq_ave	ost_dockq_wave	ost_dockq_ave_full	ost_dockq_wave_full	ost_tm_score
H0208TS114_4__H0208TS294_4	0.012	0.014	0.028	0.011	0.22	0.032	0.032	0.005	0.007	0.284
H0208TS122_5__H0208TS023_2	0.035	0.051	0.051	0.026	0.165	0.033	0.033	0.033	0.033	0.446
H0208TS122_5__H0208TS272_2	0.88	0.914	0.914	0.872	0.822	0.763	0.763	0.763	0.763	0.967
H0208TS147_2__H0208TS040_1	0.066	0.146	0.608	0.124	0.114	0.242	0.242	0.03	0.047	0.226
H0208TS147_3__H0208TS015_4	0.208	0.238	0.367	0.238	0.304	0.166	0.228	0.069	0.105	0.443
H0208TS147_3__H0208TS284_3	0.15	0.191	0.951	0.267	0.159	0.795	0.795	0.066	0.137	0.245
H0208TS148_2__H0208TS079_4	0.865	0.955	0.955	0.878	0.875	0.775	0.775	0.775	0.775	0.973
H0208TS164_5__H0208TS163_2	0.991	0.99	0.99	0.965	0.956	0.983	0.979	0.983	0.979	0.999
H0208TS164_5__H0208TS494_4	0.809	0.911	0.911	0.828	0.876	0.741	0.73	0.741	0.73	0.964
H0208TS167_1__H0208TS114_4	0.02	0.003	0.006	0.008	0.178	0.012	0.012	0.012	0.012	0.435
H0208TS167_1__H0208TS196_4	0.141	0.121	0.121	0.08	0.391	0.063	0.063	0.063	0.063	0.604
H0208TS167_2__H0208TS345_3	0.702	0.795	0.795	0.739	0.738	0.367	0.702	0.367	0.702	0.613
H0208TS167_3__H0208TS425_1	0.745	0.4	0.808	0.423	0.34	0.664	0.664	0.664	0.664	0.955
H0208TS187_1__H0208TS219_5	0.17	0.297	0.297	0.136	0.372	0.114	0.114	0.114	0.114	0.69
H0208TS191_3__H0208TS023_2	0.036	0.047	0.047	0.019	0.165	0.034	0.034	0.034	0.034	0.446
H0208TS196_4__H0208TS425_3	0.842	0.702	0.865	0.685	0.587	0.657	0.657	0.657	0.657	0.958
H0208TS208_1__H0208TS148_5	0.898	0.955	0.955	0.89	0.93	0.907	0.907	0.907	0.907	0.979
H0208TS208_2__H0208TS122_5	0.81	0.873	0.873	0.824	0.838	0.77	0.77	0.77	0.77	0.984
H0208TS208_5__H0208TS167_3	0.746	0.825	0.825	0.735	0.831	0.672	0.672	0.672	0.672	0.956
H0208TS208_5__H0208TS196_2	0.82	0.867	0.867	0.78	0.835	0.687	0.687	0.687	0.687	0.965
H0208TS219_5__H0208TS419_1	0.499	0.503	0.503	0.44	0.55	0.204	0.204	0.204	0.204	0.839
H0208TS221_3__H0208TS110_4	0.826	0.401	0.846	0.459	0.344	0.781	0.781	0.781	0.781	0.971
H0208TS221_3__H0208TS267_1	0.854	0.897	0.897	0.816	0.844	0.73	0.73	0.73	0.73	0.969
H0208TS221_5__H0208TS208_5	0.867	0.931	0.931	0.875	0.915	0.837	0.837	0.837	0.837	0.971
H0208TS262_4__H0208TS052_4	0.681	0.848	0.848	0.765	0.788	0.469	0.469	0.469	0.469	0.942
H0208TS262_5__H0208TS312_2	0.794	0.894	0.894	0.816	0.827	0.579	0.579	0.579	0.579	0.955
H0208TS264_1__H0208TS369_4	0.862	0.91	0.91	0.851	0.887	0.859	0.859	0.859	0.859	0.988
H0208TS264_4__H0208TS191_2	0.73	0.883	0.883	0.805	0.788	0.555	0.555	0.555	0.555	0.951
H0208TS264_4__H0208TS304_4	0.879	0.922	0.922	0.852	0.889	0.883	0.883	0.883	0.883	0.993
H0208TS267_1__H0208TS284_5	0.793	0.811	0.811	0.781	0.77	0.602	0.602	0.602	0.602	0.945
H0208TS272_1__H0208TS040_2	0.001	0.0	0.0	0.0	0.09	0.009	0.009	0.009	0.009	0.526
H0208TS272_2__H0208TS023_5	0.006	0.0	0.0	0.0	0.086	0.018	0.018	0.018	0.018	0.44
H0208TS272_4__H0208TS075_1	0.745	0.872	0.872	0.812	0.846	0.705	0.705	0.705	0.705	0.964
H0208TS274_1__H0208TS219_1	0.309	0.418	0.841	0.454	0.341	0.719	0.719	0.24	0.3	0.478
H0208TS274_5__H0208TS264_6	0.305	0.416	0.846	0.458	0.361	0.679	0.679	0.226	0.303	0.488
H0208TS284_2__H0208TS014_4	0.746	0.232	0.93	0.288	0.206	0.87	0.87	0.87	0.87	0.967
H0208TS284_4__H0208TS163_4	0.891	0.439	0.958	0.539	0.376	0.842	0.842	0.842	0.842	0.978
H0208TS286_1__H0208TS164_4	0.871	0.42	0.899	0.505	0.37	0.775	0.775	0.775	0.775	0.968
H0208TS286_2__H0208TS122_2	0.848	0.825	0.825	0.783	0.803	0.62	0.62	0.62	0.62	0.955
H0208TS286_4__H0208TS400_1	0.347	0.41	0.41	0.26	0.54	0.309	0.309	0.309	0.309	0.836
H0208TS294_1__H0208TS423_5	0.357	0.435	0.704	0.459	0.473	0.389	0.595	0.173	0.339	0.391
H0208TS294_2__H0208TS369_2	0.828	0.885	0.885	0.831	0.842	0.809	0.809	0.809	0.809	0.977
H0208TS294_3__H0208TS494_4	0.764	0.412	0.846	0.44	0.336	0.678	0.678	0.678	0.678	0.949
H0208TS294_4__H0208TS122_5	0.837	0.915	0.915	0.871	0.871	0.7	0.7	0.7	0.7	0.966
H0208TS298_2__H0208TS300_4	0.028	0.02	0.028	0.018	0.307	0.025	0.025	0.025	0.025	0.556
H0208TS298_4__H0208TS261_4	0.667	0.683	0.683	0.598	0.669	0.529	0.529	0.529	0.529	0.924
H0208TS298_5__H0208TS423_2	0.759	0.83	0.83	0.784	0.83	0.669	0.669	0.669	0.669	0.96
H0208TS300_2__H0208TS272_2	0.032	0.027	0.039	0.0	0.207	0.035	0.035	0.012	0.011	0.364
H0208TS301_1__H0208TS388_4	0.751	0.844	0.844	0.771	0.843	0.702	0.702	0.702	0.702	0.962
H0208TS301_4__H0208TS164_4	0.795	0.414	0.859	0.473	0.364	0.696	0.696	0.696	0.696	0.956
H0208TS304_1__H0208TS284_2	0.77	0.839	0.839	0.774	0.8	0.64	0.64	0.64	0.64	0.957
H0208TS304_4__H0208TS261_2	0.63	0.747	0.747	0.612	0.764	0.542	0.542	0.542	0.542	0.93
H0208TS319_2__H0208TS393_1	0.339	0.441	0.92	0.51	0.363	0.814	0.814	0.271	0.344	0.487
H0208TS322_1__H0208TS241_1	0.766	0.813	0.813	0.76	0.785	0.576	0.576	0.576	0.576	0.948
H0208TS322_2__H0208TS028_5	0.698	0.361	0.76	0.418	0.325	0.524	0.625	0.524	0.625	0.615
H0208TS331_2__H0208TS221_3	0.793	0.86	0.86	0.808	0.822	0.6	0.6	0.6	0.6	0.954
H0208TS331_5__H0208TS167_1	0.033	0.042	0.115	0.025	0.131	0.058	0.058	0.006	0.013	0.226
H0208TS337_4__H0208TS322_3	0.048	0.013	0.026	0.004	0.13	0.016	0.016	0.016	0.016	0.518
H0208TS345_1__H0208TS051_1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
H0208TS345_1__H0208TS075_3	0.349	0.425	0.909	0.529	0.379	0.817	0.817	0.272	0.343	0.487
H0208TS345_5__H0208TS272_3	0.062	0.073	0.073	0.038	0.417	0.032	0.032	0.032	0.032	0.552
H0208TS369_1__H0208TS052_1	0.937	0.965	0.965	0.913	0.922	0.935	0.935	0.935	0.935	0.988
H0208TS375_3__H0208TS014_5	0.232	0.045	0.136	0.019	0.078	0.151	0.151	0.151	0.151	0.636
H0208TS388_3__H0208TS400_1	0.846	0.92	0.92	0.879	0.921	0.838	0.838	0.838	0.838	0.974
H0208TS388_4__H0208TS221_3	0.776	0.871	0.871	0.806	0.831	0.743	0.743	0.743	0.743	0.96
H0208TS388_5__H0208TS264_4	0.757	0.875	0.875	0.773	0.803	0.722	0.722	0.722	0.722	0.975
H0208TS388_5__H0208TS494_5	0.738	0.434	0.87	0.458	0.364	0.784	0.784	0.784	0.784	0.983
H0208TS393_1__H0208TS079_4	0.839	0.949	0.949	0.875	0.848	0.739	0.739	0.739	0.739	0.971
H0208TS393_5__H0208TS331_5	0.871	0.248	0.953	0.336	0.227	0.732	0.732	0.732	0.732	0.97
H0208TS393_6__H0208TS075_4	0.867	0.961	0.961	0.872	0.86	0.78	0.78	0.78	0.78	0.976
H0208TS397_1__H0208TS147_5	0.828	0.176	0.871	0.237	0.147	0.74	0.74	0.74	0.74	0.95
H0208TS397_5__H0208TS148_5	0.763	0.799	0.799	0.71	0.797	0.654	0.654	0.654	0.654	0.957
H0208TS419_2__H0208TS312_3	0.855	0.899	0.899	0.83	0.828	0.826	0.826	0.826	0.826	0.977
H0208TS419_2__H0208TS375_4	0.856	0.884	0.884	0.818	0.811	0.647	0.647	0.647	0.647	0.97
H0208TS419_4__H0208TS311_4	0.844	0.868	0.868	0.81	0.835	0.778	0.778	0.778	0.778	0.971
H0208TS425_3__H0208TS262_3	0.528	0.692	0.84	0.641	0.567	0.77	0.77	0.385	0.57	0.637
H0208TS425_5__H0208TS267_1	0.208	0.25	0.952	0.349	0.232	0.836	0.836	0.093	0.189	0.326
H0208TS450_3__H0208TS380_3	0.053	0.081	0.198	0.056	0.192	0.061	0.061	0.012	0.02	0.342
H0208TS450_5__H0208TS375_5	0.875	0.944	0.944	0.89	0.885	0.815	0.815	0.815	0.815	0.979
H0208TS468_3__H0208TS425_2	0.257	0.382	0.853	0.424	0.296	0.699	0.699	0.175	0.254	0.382
H0208TS468_4__H0208TS241_1	0.213	0.295	0.892	0.358	0.241	0.811	0.811	0.162	0.216	0.306
H0208TS475_2__H0208TS298_3	0.834	0.907	0.907	0.865	0.891	0.843	0.843	0.843	0.843	0.977
H0208TS494_3__H0208TS051_3	0.824	0.897	0.897	0.816	0.871	0.709	0.681	0.709	0.681	0.963
H0208TS494_5__H0208TS164_1	0.724	0.869	0.869	0.746	0.801	0.605	0.634	0.605	0.634	0.905
H0215TS014_5__H0215TS300_2	0.001	0.0	0.0	0.0	0.114	0.008	0.008	0.008	0.008	0.523
H0215TS022_4__H0215TS197_1	0.01	0.004	0.004	0.0	0.127	0.009	0.009	0.009	0.009	0.622
H0215TS022_4__H0215TS264_5	0.038	0.011	0.011	0.0	0.239	0.013	0.013	0.013	0.013	0.607
H0215TS022_5__H0215TS393_1	0.071	0.154	0.154	0.121	0.455	0.171	0.171	0.171	0.171	0.716
H0215TS023_2__H0215TS028_2	0.009	0.0	0.0	0.0	0.188	0.009	0.009	0.009	0.009	0.59
H0215TS023_3__H0215TS337_4	0.013	0.003	0.006	0.0	0.078	0.019	0.019	0.019	0.019	0.527
H0215TS023_4__H0215TS163_5	0.04	0.009	0.035	0.0	0.098	0.012	0.012	0.012	0.012	0.658
H0215TS023_5__H0215TS298_5	0.009	0.0	0.0	0.0	0.11	0.011	0.011	0.011	0.011	0.589
H0215TS028_2__H0215TS052_4	0.194	0.163	0.163	0.22	0.585	0.132	0.132	0.132	0.132	0.679
H0215TS028_4__H0215TS264_2	0.074	0.197	0.197	0.09	0.339	0.129	0.129	0.129	0.129	0.679
H0215TS028_5__H0215TS028_4	0.004	0.0	0.0	0.0	0.172	0.008	0.008	0.008	0.008	0.63
H0215TS052_3__H0215TS028_5	0.0	0.0	0.0	0.0	0.113	0.007	0.007	0.007	0.007	0.622
H0215TS052_5__H0215TS298_5	0.257	0.454	0.454	0.194	0.39	0.286	0.286	0.286	0.286	0.787
H0215TS059_3__H0215TS462_3	0.06	0.018	0.018	0.0	0.193	0.023	0.023	0.023	0.023	0.625
H0215TS059_5__H0215TS323_2	0.042	0.001	0.001	0.0	0.163	0.016	0.016	0.016	0.016	0.614
H0215TS075_2__H0215TS114_5	0.047	0.015	0.057	0.005	0.081	0.017	0.017	0.017	0.017	0.455
H0215TS075_4__H0215TS191_5	0.009	0.001	0.002	0.0	0.037	0.016	0.016	0.005	0.007	0.366
H0215TS075_5__H0215TS059_4	0.047	0.119	0.213	0.052	0.171	0.066	0.066	0.022	0.025	0.389
H0215TS079_2__H0215TS468_2	0.158	0.016	0.13	0.003	0.049	0.116	0.116	0.116	0.116	0.776
H0215TS079_3__H0215TS221_1	0.158	0.235	0.235	0.082	0.356	0.084	0.084	0.084	0.084	0.663
H0215TS079_4__H0215TS274_1	0.04	0.01	0.01	0.0	0.122	0.013	0.013	0.013	0.013	0.61
H0215TS139_2__H0215TS494_1	0.131	0.019	0.019	0.0	0.151	0.028	0.028	0.028	0.028	0.601
H0215TS148_4__H0215TS300_3	0.005	0.0	0.0	0.0	0.0	0.013	0.013	0.013	0.013	0.519
H0215TS163_1__H0215TS274_3	0.002	0.0	0.0	0.0	0.068	0.015	0.015	0.002	0.002	0.21
H0215TS163_1__H0215TS337_1	0.0	0.0	0.0	0.0	0.014	0.0	0.0	0.0	0.0	0.25
H0215TS163_4__H0215TS419_1	0.015	0.017	0.08	0.0	0.061	0.089	0.089	0.013	0.011	0.204
H0215TS163_5__H0215TS059_2	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.203
H0215TS164_1__H0215TS397_4	0.062	0.036	0.062	0.013	0.347	0.028	0.031	0.028	0.031	0.362
H0215TS167_3__H0215TS393_1	0.005	0.0	0.0	0.0	0.112	0.012	0.012	0.006	0.006	0.454
H0215TS191_2__H0215TS052_5	0.017	0.0	0.0	0.0	0.14	0.01	0.01	0.01	0.01	0.607
H0215TS196_2__H0215TS148_2	0.244	0.395	0.395	0.156	0.524	0.151	0.151	0.151	0.151	0.725
H0215TS197_1__H0215TS298_3	0.031	0.028	0.028	0.0	0.164	0.014	0.014	0.014	0.014	0.6
H0215TS208_2__H0215TS311_3	0.164	0.062	0.12	0.073	0.164	0.095	0.095	0.095	0.095	0.667
H0215TS208_4__H0215TS262_3	0.002	0.0	0.0	0.0	0.225	0.007	0.007	0.007	0.007	0.615
H0215TS208_5__H0215TS147_4	0.01	0.0	0.0	0.0	0.13	0.008	0.008	0.008	0.008	0.619
H0215TS208_5__H0215TS388_5	0.0	0.0	0.0	0.0	0.0	0.013	0.013	0.013	0.013	0.603
H0215TS221_1__H0215TS139_3	0.252	0.449	0.449	0.228	0.408	0.21	0.21	0.21	0.21	0.791
H0215TS221_5__H0215TS015_2	0.082	0.003	0.003	0.0	0.125	0.026	0.026	0.026	0.026	0.628
H0215TS241_5__H0215TS079_3	0.008	0.016	0.144	0.007	0.039	0.053	0.053	0.004	0.002	0.163
H0215TS261_4__H0215TS148_2	0.001	0.0	0.0	0.0	0.0	0.017	0.017	0.017	0.017	0.596
H0215TS262_2__H0215TS164_5	0.0	0.0	0.0	0.0	0.072	0.007	0.007	0.007	0.007	0.608
H0215TS262_2__H0215TS267_2	0.502	0.625	0.625	0.578	0.613	0.389	0.389	0.389	0.389	0.903
H0215TS262_3__H0215TS261_2	0.058	0.066	0.066	0.015	0.117	0.023	0.023	0.023	0.023	0.626
H0215TS267_2__H0215TS262_5	0.484	0.615	0.615	0.454	0.542	0.366	0.366	0.366	0.366	0.867
H0215TS267_5__H0215TS319_1	0.07	0.008	0.008	0.0	0.272	0.023	0.023	0.023	0.023	0.629
H0215TS272_4__H0215TS397_2	0.001	0.0	0.0	0.0	0.05	0.008	0.008	0.008	0.008	0.593
H0215TS274_4__H0215TS264_3	0.009	0.002	0.002	0.0	0.155	0.013	0.013	0.013	0.013	0.597
H0215TS274_4__H0215TS468_5	0.165	0.015	0.105	0.022	0.054	0.111	0.111	0.111	0.111	0.666
H0215TS274_5__H0215TS494_5	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
H0215TS284_1__H0215TS028_1	0.212	0.126	0.126	0.119	0.388	0.102	0.102	0.102	0.102	0.666
H0215TS284_2__H0215TS272_3	0.006	0.0	0.0	0.0	0.105	0.012	0.012	0.012	0.012	0.607
H0215TS284_3__H0215TS312_3	0.032	0.001	0.001	0.0	0.165	0.012	0.012	0.012	0.012	0.626
H0215TS284_5__H0215TS322_1	0.025	0.0	0.0	0.0	0.174	0.014	0.014	0.014	0.014	0.601
H0215TS286_2__H0215TS300_5	0.001	0.0	0.0	0.0	0.019	0.009	0.009	0.009	0.009	0.523
H0215TS286_3__H0215TS052_1	0.235	0.176	0.176	0.143	0.512	0.133	0.133	0.133	0.133	0.713
H0215TS286_3__H0215TS164_5	0.248	0.019	0.202	0.01	0.055	0.114	0.114	0.114	0.114	0.644
H0215TS294_1__H0215TS163_5	0.052	0.011	0.053	0.0	0.042	0.025	0.025	0.025	0.025	0.596
H0215TS298_1__H0215TS197_1	0.032	0.021	0.021	0.0	0.135	0.015	0.015	0.015	0.015	0.631
H0215TS298_3__H0215TS139_4	0.563	0.724	0.724	0.548	0.59	0.531	0.531	0.531	0.531	0.903
H0215TS298_4__H0215TS284_1	0.165	0.426	0.426	0.242	0.461	0.181	0.181	0.181	0.181	0.726
H0215TS298_4__H0215TS301_4	0.041	0.024	0.024	0.02	0.168	0.023	0.023	0.023	0.023	0.612
H0215TS298_5__H0215TS114_1	0.007	0.0	0.001	0.0	0.005	0.016	0.016	0.016	0.016	0.529
H0215TS300_5__H0215TS241_3	0.015	0.008	0.024	0.002	0.1	0.019	0.02	0.01	0.012	0.34
H0215TS301_2__H0215TS293_4	0.011	0.0	0.0	0.0	0.134	0.008	0.008	0.008	0.008	0.631
H0215TS311_2__H0215TS051_3	0.0	0.0	0.0	0.0	0.094	0.0	0.0	0.0	0.0	0.303
H0215TS311_4__H0215TS122_3	0.018	0.022	0.04	0.023	0.095	0.033	0.033	0.011	0.012	0.315
H0215TS312_3__H0215TS468_1	0.236	0.04	0.343	0.026	0.05	0.161	0.161	0.161	0.161	0.66
H0215TS319_2__H0215TS397_1	0.0	0.0	0.0	0.0	0.032	0.006	0.006	0.006	0.006	0.6
H0215TS319_2__H0215TS468_3	0.051	0.001	0.007	0.0	0.046	0.019	0.019	0.019	0.019	0.705
H0215TS323_2__H0215TS051_1	0.024	0.004	0.004	0.0	0.208	0.009	0.009	0.009	0.009	0.612
H0215TS331_1__H0215TS023_1	0.001	0.0	0.0	0.0	0.098	0.008	0.008	0.008	0.008	0.581
H0215TS331_4__H0215TS397_1	0.048	0.019	0.04	0.0	0.169	0.014	0.014	0.014	0.014	0.356
H0215TS337_3__H0215TS023_2	0.019	0.013	0.018	0.0	0.13	0.035	0.035	0.006	0.007	0.347
H0215TS337_3__H0215TS284_4	0.001	0.0	0.0	0.0	0.08	0.008	0.008	0.001	0.002	0.318
H0215TS369_3__H0215TS301_5	0.028	0.001	0.001	0.0	0.2	0.012	0.012	0.012	0.012	0.639
H0215TS388_1__H0215TS114_2	0.132	0.035	0.199	0.01	0.026	0.06	0.06	0.06	0.06	0.492
H0215TS388_1__H0215TS264_2	0.17	0.451	0.451	0.22	0.387	0.41	0.41	0.41	0.41	0.783
H0215TS388_1__H0215TS319_2	0.135	0.208	0.208	0.09	0.265	0.069	0.069	0.069	0.069	0.651
H0215TS388_3__H0215TS425_4	0.011	0.0	0.0	0.0	0.082	0.012	0.012	0.012	0.012	0.598
H0215TS388_4__H0215TS312_3	0.186	0.196	0.196	0.087	0.527	0.101	0.101	0.101	0.101	0.69
H0215TS393_3__H0215TS272_4	0.024	0.014	0.014	0.0	0.172	0.016	0.016	0.016	0.016	0.597
H0215TS397_3__H0215TS264_6	0.157	0.326	0.326	0.184	0.576	0.243	0.243	0.243	0.243	0.751
H0215TS397_5__H0215TS261_2	0.0	0.0	0.0	0.0	0.032	0.0	0.0	0.0	0.0	0.103
H0215TS400_1__H0215TS023_1	0.067	0.048	0.048	0.0	0.305	0.049	0.049	0.049	0.049	0.627
H0215TS419_2__H0215TS272_2	0.013	0.0	0.0	0.0	0.116	0.01	0.01	0.01	0.01	0.603
H0215TS419_5__H0215TS219_5	0.025	0.024	0.024	0.0	0.158	0.014	0.014	0.014	0.014	0.61
H0215TS423_1__H0215TS425_3	0.066	0.18	0.486	0.139	0.176	0.277	0.277	0.092	0.092	0.438
H0215TS423_2__H0215TS345_2	0.077	0.171	0.504	0.117	0.156	0.246	0.246	0.082	0.077	0.438
H0215TS425_3__H0215TS164_1	0.028	0.001	0.008	0.0	0.053	0.011	0.011	0.011	0.011	0.593
H0215TS450_3__H0215TS264_3	0.001	0.001	0.007	0.0	0.03	0.013	0.013	0.001	0.001	0.093
H0215TS456_2__H0215TS219_4	0.072	0.001	0.001	0.017	0.155	0.019	0.019	0.019	0.019	0.621
H0215TS456_2__H0215TS272_2	0.021	0.011	0.011	0.0	0.105	0.013	0.013	0.013	0.013	0.619
H0215TS456_3__H0215TS079_2	0.011	0.0	0.0	0.0	0.123	0.008	0.008	0.008	0.008	0.623
H0215TS456_3__H0215TS294_2	0.177	0.155	0.155	0.117	0.314	0.095	0.095	0.095	0.095	0.715
H0215TS456_5__H0215TS023_4	0.0	0.0	0.0	0.0	0.033	0.008	0.008	0.008	0.008	0.587
H0215TS456_5__H0215TS284_1	0.123	0.069	0.069	0.07	0.31	0.054	0.054	0.054	0.054	0.637
H0215TS462_3__H0215TS319_4	0.023	0.0	0.0	0.0	0.059	0.011	0.011	0.011	0.011	0.642
H0215TS462_4__H0215TS110_2	0.006	0.0	0.0	0.0	0.136	0.012	0.012	0.012	0.012	0.624
H0215TS475_3__H0215TS397_4	0.015	0.0	0.0	0.0	0.027	0.012	0.012	0.012	0.012	0.668
H0215TS494_3__H0215TS139_3	0.035	0.009	0.009	0.0	0.152	0.027	0.027	0.027	0.027	0.63
H0217TS014_1__H0217TS028_5	0.79	0.492	0.492	0.525	0.506	0.415	0.289	0.415	0.289	0.679
H0217TS014_3__H0217TS304_1	0.101	0.077	0.172	0.053	0.159	0.114	0.051	0.032	0.021	0.203
H0217TS022_2__H0217TS293_2	0.292	0.295	0.711	0.409	0.299	0.709	0.859	0.253	0.33	0.386
H0217TS040_3__H0217TS148_2	0.366	0.193	0.512	0.228	0.192	0.342	0.398	0.342	0.398	0.536
H0217TS040_5__H0217TS139_2	0.242	0.133	0.439	0.133	0.176	0.294	0.349	0.294	0.349	0.574
H0217TS051_2__H0217TS191_1	0.435	0.215	0.298	0.259	0.344	0.476	0.559	0.476	0.559	0.71
H0217TS051_2__H0217TS221_2	0.646	0.698	0.748	0.653	0.619	0.515	0.616	0.515	0.616	0.839
H0217TS051_4__H0217TS110_4	0.924	0.852	0.929	0.852	0.756	0.823	0.847	0.823	0.847	0.873
H0217TS051_4__H0217TS425_3	0.893	0.851	0.851	0.845	0.84	0.852	0.862	0.852	0.862	0.904
H0217TS051_5__H0217TS148_5	0.319	0.323	0.682	0.453	0.322	0.585	0.645	0.238	0.291	0.418
H0217TS052_3__H0217TS139_1	0.545	0.537	0.577	0.523	0.538	0.528	0.62	0.528	0.62	0.741
H0217TS059_2__H0217TS369_3	0.24	0.212	0.596	0.23	0.228	0.49	0.481	0.174	0.15	0.364
H0217TS059_3__H0217TS331_5	0.603	0.515	0.639	0.454	0.53	0.572	0.518	0.501	0.405	0.734
H0217TS075_4__H0217TS261_4	0.517	0.378	0.378	0.42	0.471	0.362	0.384	0.362	0.384	0.703
H0217TS075_4__H0217TS322_2	0.385	0.137	0.261	0.138	0.197	0.314	0.356	0.314	0.356	0.727
H0217TS075_5__H0217TS450_4	0.709	0.664	0.664	0.73	0.66	0.53	0.544	0.53	0.544	0.786
H0217TS079_3__H0217TS456_1	0.645	0.309	0.863	0.426	0.301	0.733	0.72	0.733	0.72	0.623
H0217TS110_2__H0217TS028_3	0.969	0.984	0.984	0.942	0.939	0.971	0.977	0.971	0.977	1.0
H0217TS110_2__H0217TS274_1	0.558	0.669	0.774	0.676	0.619	0.633	0.67	0.633	0.67	0.598
H0217TS122_5__H0217TS241_4	0.45	0.295	0.497	0.423	0.388	0.298	0.327	0.298	0.327	0.648
H0217TS147_3__H0217TS462_4	0.753	0.719	0.719	0.749	0.689	0.536	0.559	0.536	0.559	0.788
H0217TS163_1__H0217TS219_3	0.447	0.2	0.2	0.243	0.305	0.312	0.292	0.312	0.292	0.533
H0217TS163_3__H0217TS293_3	0.82	0.654	0.654	0.698	0.658	0.486	0.339	0.486	0.339	0.686
H0217TS163_3__H0217TS393_4	0.781	0.628	0.628	0.639	0.597	0.459	0.302	0.459	0.302	0.689
H0217TS163_4__H0217TS475_3	0.765	0.633	0.633	0.629	0.582	0.402	0.366	0.402	0.366	0.68
H0217TS163_4__H0217TS494_1	0.633	0.301	0.899	0.388	0.274	0.616	0.645	0.616	0.645	0.573
H0217TS164_3__H0217TS450_2	0.671	0.593	0.718	0.664	0.549	0.51	0.541	0.425	0.434	0.666
H0217TS164_4__H0217TS284_2	0.64	0.625	0.74	0.664	0.563	0.486	0.52	0.405	0.437	0.668
H0217TS164_4__H0217TS319_1	0.786	0.407	0.731	0.504	0.397	0.673	0.728	0.673	0.728	0.737
H0217TS167_1__H0217TS196_2	0.259	0.341	0.716	0.449	0.299	0.395	0.451	0.153	0.208	0.369
H0217TS167_2__H0217TS312_4	0.595	0.642	0.676	0.612	0.593	0.478	0.529	0.443	0.497	0.703
H0217TS167_3__H0217TS051_1	0.075	0.067	0.124	0.057	0.181	0.025	0.055	0.025	0.055	0.241
H0217TS167_4__H0217TS022_2	0.62	0.652	0.805	0.708	0.581	0.653	0.708	0.653	0.708	0.601
H0217TS191_2__H0217TS079_5	0.198	0.1	0.199	0.134	0.184	0.192	0.073	0.06	0.037	0.359
H0217TS196_2__H0217TS462_4	0.838	0.327	0.862	0.429	0.289	0.592	0.557	0.592	0.557	0.72
H0217TS208_2__H0217TS167_1	0.654	0.317	0.616	0.45	0.325	0.474	0.481	0.474	0.481	0.752
H0217TS208_2__H0217TS286_4	0.255	0.214	0.375	0.201	0.213	0.232	0.221	0.232	0.221	0.695
H0217TS219_1__H0217TS322_2	0.529	0.236	0.555	0.288	0.279	0.476	0.441	0.476	0.441	0.683
