input	target_atoms	model_atoms	total_input_atoms	CADscoreLT_global_score	CADscoreLT_remapped_global_score	CADscoreLT_refseq_global_score	CADscoreLT_iface_score	CADscoreLT_remapped_iface_score	CADscoreLT_refseq_iface_score	CADscoreLT_remapped_global_time	ost_ilddt	ost_qs_global	ost_qs_best	ost_ics	ost_ips	ost_dockq_ave	ost_dockq_wave	ost_dockq_ave_full	ost_dockq_wave_full	ost_tm_score
H0208TS051_4__H0208TS163_2	5094	10188	15282	0.880103	0.880103	0.880103	0.717982	0.719478	0.717982	0.52	0.861	0.448	0.948	0.524	0.375	0.587	0.587	0.587	0.587	0.967
H0208TS052_3__H0208TS284_4	5092	5094	10186	0.863237	0.863237	0.863237	0.693224	0.693224	0.693224	0.3	0.805	0.878	0.878	0.826	0.809	0.707	0.707	0.707	0.707	0.965
H0208TS052_4__H0208TS393_6	5092	5094	10186	0.85078	0.85078	0.85078	0.70344	0.70344	0.70344	0.34	0.824	0.893	0.893	0.838	0.823	0.828	0.828	0.828	0.828	0.98
H0208TS059_1__H0208TS221_3	5092	5094	10186	0.821592	0.821592	0.821592	0.653115	0.653115	0.653115	0.3	0.806	0.863	0.863	0.776	0.832	0.734	0.734	0.734	0.734	0.961
H0208TS075_3__H0208TS312_1	5092	5094	10186	0.904804	0.904804	0.904804	0.775995	0.775995	0.775995	0.33	0.928	0.963	0.963	0.88	0.875	0.911	0.911	0.911	0.911	0.986
H0208TS079_1__H0208TS196_3	5092	5094	10186	0.897192	0.897192	0.897192	0.803953	0.803953	0.803953	0.34	0.91	0.952	0.952	0.9	0.91	0.891	0.891	0.891	0.891	0.98
H0208TS114_4__H0208TS294_4	10042	5094	15136	0.232733	0.336052	0.336052	0	0.004814	0.004814	0.46	0.012	0.014	0.028	0.011	0.22	0.032	0.032	0.005	0.007	0.284
H0208TS122_5__H0208TS023_2	5092	5094	10186	0.387347	0.387347	0.387347	0.009948	0.009948	0.009948	0.31	0.035	0.051	0.051	0.026	0.165	0.033	0.033	0.033	0.033	0.446
H0208TS122_5__H0208TS272_2	5092	5092	10184	0.914366	0.914366	0.914366	0.766856	0.766856	0.766856	0.32	0.88	0.914	0.914	0.872	0.822	0.763	0.763	0.763	0.763	0.967
H0208TS147_2__H0208TS040_1	20376	5094	25470	0.174144	0.177599	0.174144	0	0.048846	0	0.88	0.066	0.146	0.608	0.124	0.114	0.242	0.242	0.03	0.047	0.226
H0208TS147_3__H0208TS015_4	20376	10188	30564	0.35657	0.359519	0.35657	0.122497	0.158446	0.122497	1.61	0.208	0.238	0.367	0.238	0.304	0.166	0.228	0.069	0.105	0.443
H0208TS147_3__H0208TS284_3	20376	5094	25470	0.216368	0.216368	0.216368	0.133886	0.13461	0.133886	0.84	0.15	0.191	0.951	0.267	0.159	0.795	0.795	0.066	0.137	0.245
H0208TS148_2__H0208TS079_4	5094	5092	10186	0.864345	0.864345	0.864345	0.766119	0.766119	0.766119	0.3	0.865	0.955	0.955	0.878	0.875	0.775	0.775	0.775	0.775	0.973
H0208TS164_5__H0208TS163_2	10188	10188	20376	0.961787	0.961787	0.961787	0.917845	0.918404	0.917845	0.64	0.991	0.99	0.99	0.965	0.956	0.983	0.979	0.983	0.979	0.999
H0208TS164_5__H0208TS494_4	10188	10184	20372	0.816085	0.816085	0.816085	0.706257	0.706465	0.706257	0.64	0.809	0.911	0.911	0.828	0.876	0.741	0.73	0.741	0.73	0.964
H0208TS167_1__H0208TS114_4	5094	10042	15136	0.40043	0.562909	0.560209	0	0.001461	0	0.47	0.02	0.003	0.006	0.008	0.178	0.012	0.012	0.012	0.012	0.435
H0208TS167_1__H0208TS196_4	5094	5094	10188	0.555299	0.555299	0.555299	0.050505	0.050505	0.050505	0.33	0.141	0.121	0.121	0.08	0.391	0.063	0.063	0.063	0.063	0.604
H0208TS167_2__H0208TS345_3	10188	10188	20376	0.872245	0.872245	0.872245	0.629241	0.629241	0.629241	0.67	0.702	0.795	0.795	0.739	0.738	0.367	0.702	0.367	0.702	0.613
H0208TS167_3__H0208TS425_1	5094	10188	15282	0.559519	0.837403	0.802832	0	0.614158	0	0.53	0.745	0.4	0.808	0.423	0.34	0.664	0.664	0.664	0.664	0.955
H0208TS187_1__H0208TS219_5	5092	5092	10184	0.38554	0.38554	0.38554	0.077295	0.077295	0.077295	0.31	0.17	0.297	0.297	0.136	0.372	0.114	0.114	0.114	0.114	0.69
H0208TS191_3__H0208TS023_2	5092	5094	10186	0.382714	0.382714	0.382714	0.003818	0.003818	0.003818	0.31	0.036	0.047	0.047	0.019	0.165	0.034	0.034	0.034	0.034	0.446
H0208TS196_4__H0208TS425_3	5094	7714	12808	0.571254	0.887215	0.842722	0	0.69068	0	0.39	0.842	0.702	0.865	0.685	0.587	0.657	0.657	0.657	0.657	0.958
H0208TS208_1__H0208TS148_5	5094	5094	10188	0.920415	0.920415	0.920415	0.784758	0.784758	0.784758	0.3	0.898	0.955	0.955	0.89	0.93	0.907	0.907	0.907	0.907	0.979
H0208TS208_2__H0208TS122_5	5094	5092	10186	0.891512	0.891512	0.891512	0.691013	0.691013	0.691013	0.3	0.81	0.873	0.873	0.824	0.838	0.77	0.77	0.77	0.77	0.984
H0208TS208_5__H0208TS167_3	5094	5094	10188	0.83344	0.83344	0.83344	0.626839	0.626839	0.626839	0.3	0.746	0.825	0.825	0.735	0.831	0.672	0.672	0.672	0.672	0.956
H0208TS208_5__H0208TS196_2	5094	5094	10188	0.887978	0.887978	0.887978	0.666665	0.666665	0.666665	0.34	0.82	0.867	0.867	0.78	0.835	0.687	0.687	0.687	0.687	0.965
H0208TS219_5__H0208TS419_1	5092	5094	10186	0.756742	0.756742	0.756742	0.261301	0.261301	0.261301	0.32	0.499	0.503	0.503	0.44	0.55	0.204	0.204	0.204	0.204	0.839
H0208TS221_3__H0208TS110_4	5094	10188	15282	0.811775	0.847212	0.811775	0	0.673751	0	0.49	0.826	0.401	0.846	0.459	0.344	0.781	0.781	0.781	0.781	0.971
H0208TS221_3__H0208TS267_1	5094	5094	10188	0.859471	0.859471	0.859471	0.726014	0.726014	0.726014	0.31	0.854	0.897	0.897	0.816	0.844	0.73	0.73	0.73	0.73	0.969
H0208TS221_5__H0208TS208_5	5094	5094	10188	0.871921	0.871921	0.871921	0.745479	0.745479	0.745479	0.33	0.867	0.931	0.931	0.875	0.915	0.837	0.837	0.837	0.837	0.971
H0208TS262_4__H0208TS052_4	5092	5092	10184	0.792561	0.792561	0.792561	0.540058	0.540058	0.540058	0.34	0.681	0.848	0.848	0.765	0.788	0.469	0.469	0.469	0.469	0.942
H0208TS262_5__H0208TS312_2	5092	5094	10186	0.833614	0.833614	0.833614	0.654708	0.654708	0.654708	0.39	0.794	0.894	0.894	0.816	0.827	0.579	0.579	0.579	0.579	0.955
H0208TS264_1__H0208TS369_4	5094	5094	10188	0.89814	0.89814	0.89814	0.775329	0.775329	0.775329	0.31	0.862	0.91	0.91	0.851	0.887	0.859	0.859	0.859	0.859	0.988
H0208TS264_4__H0208TS191_2	5094	5092	10186	0.838573	0.838573	0.838573	0.634413	0.634413	0.634413	0.31	0.73	0.883	0.883	0.805	0.788	0.555	0.555	0.555	0.555	0.951
H0208TS264_4__H0208TS304_4	5094	5094	10188	0.910911	0.910911	0.910911	0.790958	0.790958	0.790958	0.3	0.879	0.922	0.922	0.852	0.889	0.883	0.883	0.883	0.883	0.993
H0208TS267_1__H0208TS284_5	5094	5094	10188	0.844832	0.844832	0.844832	0.664741	0.664741	0.664741	0.32	0.793	0.811	0.811	0.781	0.77	0.602	0.602	0.602	0.602	0.945
H0208TS272_1__H0208TS040_2	5092	5094	10186	0.672639	0.672639	0.672639	0	0	0	0.31	0.001	0	0	0	0.09	0.009	0.009	0.009	0.009	0.526
H0208TS272_2__H0208TS023_5	5092	5094	10186	0.383164	0.383164	0.383164	0	0	0	0.29	0.006	0	0	0	0.086	0.018	0.018	0.018	0.018	0.44
H0208TS272_4__H0208TS075_1	5092	5092	10184	0.812719	0.812719	0.812719	0.621818	0.621818	0.621818	0.32	0.745	0.872	0.872	0.812	0.846	0.705	0.705	0.705	0.705	0.964
H0208TS274_1__H0208TS219_1	10184	5092	15276	0.396673	0.397947	0.396673	0.259218	0.259218	0.259218	0.49	0.309	0.418	0.841	0.454	0.341	0.719	0.719	0.24	0.3	0.478
H0208TS274_5__H0208TS264_6	10184	5094	15278	0.401872	0.401872	0.401872	0.245717	0.245717	0.245717	0.54	0.305	0.416	0.846	0.458	0.361	0.679	0.679	0.226	0.303	0.488
H0208TS284_2__H0208TS014_4	5094	15282	20376	0.872778	0.872778	0.872778	0.740169	0.740169	0.740169	0.67	0.746	0.232	0.93	0.288	0.206	0.87	0.87	0.87	0.87	0.967
H0208TS284_4__H0208TS163_4	5094	10188	15282	0.8991	0.8991	0.8991	0.78987	0.78987	0.78987	0.48	0.891	0.439	0.958	0.539	0.376	0.842	0.842	0.842	0.842	0.978
H0208TS286_1__H0208TS164_4	5094	10188	15282	0.825694	0.863137	0.825694	0	0.725791	0	0.5	0.871	0.42	0.899	0.505	0.37	0.775	0.775	0.775	0.775	0.968
H0208TS286_2__H0208TS122_2	5094	5094	10188	0.857896	0.857896	0.857896	0.694787	0.694787	0.694787	0.36	0.848	0.825	0.825	0.783	0.803	0.62	0.62	0.62	0.62	0.955
H0208TS286_4__H0208TS400_1	5094	5094	10188	0.657028	0.657028	0.657028	0.188449	0.188449	0.188449	0.36	0.347	0.41	0.41	0.26	0.54	0.309	0.309	0.309	0.309	0.836
H0208TS294_1__H0208TS423_5	15282	10184	25466	0.434241	0.550167	0.536271	0.00213	0.317004	0.158443	1	0.357	0.435	0.704	0.459	0.473	0.389	0.595	0.173	0.339	0.391
H0208TS294_2__H0208TS369_2	5094	5094	10188	0.857613	0.857613	0.857613	0.74369	0.74369	0.74369	0.35	0.828	0.885	0.885	0.831	0.842	0.809	0.809	0.809	0.809	0.977
H0208TS294_3__H0208TS494_4	5094	10184	15278	0.80071	0.80071	0.80071	0.649448	0.6506	0.649448	0.53	0.764	0.412	0.846	0.44	0.336	0.678	0.678	0.678	0.678	0.949
H0208TS294_4__H0208TS122_5	5094	5092	10186	0.87539	0.87539	0.87539	0.720688	0.720688	0.720688	0.32	0.837	0.915	0.915	0.871	0.871	0.7	0.7	0.7	0.7	0.966
H0208TS298_2__H0208TS300_4	5092	7568	12660	0.467109	0.667666	0.667666	0.00083	0.009366	0.009366	0.39	0.028	0.02	0.028	0.018	0.307	0.025	0.025	0.025	0.025	0.556
H0208TS298_4__H0208TS261_4	5092	5092	10184	0.758205	0.758205	0.758205	0.514898	0.514898	0.514898	0.3	0.667	0.683	0.683	0.598	0.669	0.529	0.529	0.529	0.529	0.924
H0208TS298_5__H0208TS423_2	5094	5092	10186	0.844595	0.844595	0.844595	0.624085	0.624085	0.624085	0.36	0.759	0.83	0.83	0.784	0.83	0.669	0.669	0.669	0.669	0.96
H0208TS300_2__H0208TS272_2	7568	5092	12660	0.45594	0.45594	0.45594	0.003488	0.004422	0.003488	0.38	0.032	0.027	0.039	0	0.207	0.035	0.035	0.012	0.011	0.364
H0208TS301_1__H0208TS388_4	5094	5092	10186	0.832827	0.832827	0.832827	0.623166	0.623166	0.623166	0.32	0.751	0.844	0.844	0.771	0.843	0.702	0.702	0.702	0.702	0.962
H0208TS301_4__H0208TS164_4	5094	10188	15282	0.806061	0.841431	0.806061	0	0.673225	0	0.49	0.795	0.414	0.859	0.473	0.364	0.696	0.696	0.696	0.696	0.956
H0208TS304_1__H0208TS284_2	5094	5094	10188	0.826795	0.826795	0.826795	0.601756	0.601756	0.601756	0.35	0.77	0.839	0.839	0.774	0.8	0.64	0.64	0.64	0.64	0.957
H0208TS304_4__H0208TS261_2	5094	5092	10186	0.73865	0.73865	0.73865	0.46194	0.46194	0.46194	0.33	0.63	0.747	0.747	0.612	0.764	0.542	0.542	0.542	0.542	0.93
H0208TS319_2__H0208TS393_1	10188	5094	15282	0.27784	0.426598	0.426328	0	0.307392	0.307392	0.51	0.339	0.441	0.92	0.51	0.363	0.814	0.814	0.271	0.344	0.487
H0208TS322_1__H0208TS241_1	5092	5094	10186	0.819855	0.819855	0.819855	0.630203	0.630203	0.630203	0.33	0.766	0.813	0.813	0.76	0.785	0.576	0.576	0.576	0.576	0.948
H0208TS322_2__H0208TS028_5	10184	20376	30560	0.548693	0.851505	0.849773	0	0.571822	0.545096	1.95	0.698	0.361	0.76	0.418	0.325	0.524	0.625	0.524	0.625	0.615
H0208TS331_2__H0208TS221_3	5094	5094	10188	0.836877	0.836877	0.836877	0.660551	0.660551	0.660551	0.34	0.793	0.86	0.86	0.808	0.822	0.6	0.6	0.6	0.6	0.954
H0208TS331_5__H0208TS167_1	15282	5094	20376	0.137949	0.181984	0.181961	0	0.011041	0.011034	0.67	0.033	0.042	0.115	0.025	0.131	0.058	0.058	0.006	0.013	0.226
H0208TS337_4__H0208TS322_3	5094	10184	15278	0.505506	0.688781	0.688781	0	0.008313	0.008313	0.47	0.048	0.013	0.026	0.004	0.13	0.016	0.016	0.016	0.016	0.518
H0208TS345_1__H0208TS051_1	10188	10188	20376	1	1	1	1	1	1	0.63	1	1	1	1	1	1	1	1	1	1
H0208TS345_1__H0208TS075_3	10188	5092	15280	0.286116	0.43993	0.43993	0	0.325184	0.325184	0.51	0.349	0.425	0.909	0.529	0.379	0.817	0.817	0.272	0.343	0.487
H0208TS345_5__H0208TS272_3	5094	5092	10186	0.721968	0.721968	0.721968	0.008678	0.008678	0.008678	0.33	0.062	0.073	0.073	0.038	0.417	0.032	0.032	0.032	0.032	0.552
H0208TS369_1__H0208TS052_1	5094	5094	10188	0.922184	0.922184	0.922184	0.84335	0.84335	0.84335	0.32	0.937	0.965	0.965	0.913	0.922	0.935	0.935	0.935	0.935	0.988
H0208TS375_3__H0208TS014_5	5094	15282	20376	0.780023	0.780023	0.780023	0.076492	0.076492	0.076492	0.67	0.232	0.045	0.136	0.019	0.078	0.151	0.151	0.151	0.151	0.636
H0208TS388_3__H0208TS400_1	5092	5094	10186	0.871192	0.871192	0.871192	0.747957	0.747957	0.747957	0.32	0.846	0.92	0.92	0.879	0.921	0.838	0.838	0.838	0.838	0.974
H0208TS388_4__H0208TS221_3	5092	5094	10186	0.828022	0.828022	0.828022	0.619673	0.619673	0.619673	0.35	0.776	0.871	0.871	0.806	0.831	0.743	0.743	0.743	0.743	0.96
H0208TS388_5__H0208TS264_4	5092	5094	10186	0.832265	0.832265	0.832265	0.606343	0.606343	0.606343	0.32	0.757	0.875	0.875	0.773	0.803	0.722	0.722	0.722	0.722	0.975
H0208TS388_5__H0208TS494_5	5092	10184	15276	0.794364	0.794364	0.794364	0.631548	0.631548	0.631548	0.51	0.738	0.434	0.87	0.458	0.364	0.784	0.784	0.784	0.784	0.983
H0208TS393_1__H0208TS079_4	5094	5092	10186	0.862289	0.862289	0.862289	0.742339	0.742339	0.742339	0.3	0.839	0.949	0.949	0.875	0.848	0.739	0.739	0.739	0.739	0.971
H0208TS393_5__H0208TS331_5	5094	15282	20376	0.552993	0.855183	0.853136	0	0.769324	0.769324	0.7	0.871	0.248	0.953	0.336	0.227	0.732	0.732	0.732	0.732	0.97
H0208TS393_6__H0208TS075_4	5094	5092	10186	0.868242	0.868242	0.868242	0.758478	0.758478	0.758478	0.3	0.867	0.961	0.961	0.872	0.86	0.78	0.78	0.78	0.78	0.976
H0208TS397_1__H0208TS147_5	5094	20376	25470	0.848583	0.848583	0.848583	0.713063	0.713063	0.713063	0.98	0.828	0.176	0.871	0.237	0.147	0.74	0.74	0.74	0.74	0.95
H0208TS397_5__H0208TS148_5	5094	5094	10188	0.836902	0.836902	0.836902	0.643809	0.643809	0.643809	0.31	0.763	0.799	0.799	0.71	0.797	0.654	0.654	0.654	0.654	0.957
H0208TS419_2__H0208TS312_3	5094	5094	10188	0.865021	0.865021	0.865021	0.732314	0.732314	0.732314	0.35	0.855	0.899	0.899	0.83	0.828	0.826	0.826	0.826	0.826	0.977
H0208TS419_2__H0208TS375_4	5094	5094	10188	0.867063	0.867063	0.867063	0.743711	0.743711	0.743711	0.35	0.856	0.884	0.884	0.818	0.811	0.647	0.647	0.647	0.647	0.97
H0208TS419_4__H0208TS311_4	5094	5094	10188	0.855206	0.855206	0.855206	0.710619	0.710619	0.710619	0.35	0.844	0.868	0.868	0.81	0.835	0.778	0.778	0.778	0.778	0.971
H0208TS425_3__H0208TS262_3	7714	5092	12806	0.352379	0.539253	0.517426	0	0.464142	0	0.41	0.528	0.692	0.84	0.641	0.567	0.77	0.77	0.385	0.57	0.637
H0208TS425_5__H0208TS267_1	15282	5094	20376	0.179953	0.286749	0.286749	0	0.196776	0.196776	0.65	0.208	0.25	0.952	0.349	0.232	0.836	0.836	0.093	0.189	0.326
H0208TS450_3__H0208TS380_3	10188	5094	15282	0.277832	0.27794	0.277832	0.015762	0.015762	0.015762	0.55	0.053	0.081	0.198	0.056	0.192	0.061	0.061	0.012	0.02	0.342
H0208TS450_5__H0208TS375_5	5094	5094	10188	0.896724	0.896724	0.896724	0.746724	0.746724	0.746724	0.3	0.875	0.944	0.944	0.89	0.885	0.815	0.815	0.815	0.815	0.979
H0208TS468_3__H0208TS425_2	12954	5094	18048	0.219383	0.333213	0.333213	0	0.232806	0.232806	0.57	0.257	0.382	0.853	0.424	0.296	0.699	0.699	0.175	0.254	0.382
H0208TS468_4__H0208TS241_1	15428	5094	20522	0.184078	0.281377	0.281171	0	0.199451	0.199451	0.7	0.213	0.295	0.892	0.358	0.241	0.811	0.811	0.162	0.216	0.306
H0208TS475_2__H0208TS298_3	5092	5094	10186	0.864948	0.864948	0.864948	0.763897	0.763897	0.763897	0.3	0.834	0.907	0.907	0.865	0.891	0.843	0.843	0.843	0.843	0.977
H0208TS494_3__H0208TS051_3	10184	10188	20372	0.533119	0.830691	0.79397	0	0.681946	0.12126	0.65	0.824	0.897	0.897	0.816	0.871	0.709	0.681	0.709	0.681	0.963
H0208TS494_5__H0208TS164_1	10184	10188	20372	0.790289	0.790289	0.790289	0.594521	0.594521	0.594521	0.65	0.724	0.869	0.869	0.746	0.801	0.605	0.634	0.605	0.634	0.905
H0215TS014_5__H0215TS300_2	2906	3925	6831	0.20151	0.654808	0.654808	0	0	0	0.21	0.001	0	0	0	0.114	0.008	0.008	0.008	0.008	0.523
H0215TS022_4__H0215TS197_1	2906	2902	5808	0.752168	0.752168	0.752168	0	0	0	0.25	0.01	0.004	0.004	0	0.127	0.009	0.009	0.009	0.009	0.622
H0215TS022_4__H0215TS264_5	2906	2906	5812	0.837442	0.837442	0.837442	0.004194	0.004194	0.004194	0.17	0.038	0.011	0.011	0	0.239	0.013	0.013	0.013	0.013	0.607
H0215TS022_5__H0215TS393_1	2834	2906	5740	0.81789	0.81789	0.81789	0.129893	0.129893	0.129893	0.18	0.071	0.154	0.154	0.121	0.455	0.171	0.171	0.171	0.171	0.716
H0215TS023_2__H0215TS028_2	2906	2906	5812	0.685377	0.685377	0.685377	0	0	0	0.17	0.009	0	0	0	0.188	0.009	0.009	0.009	0.009	0.59
H0215TS023_3__H0215TS337_4	2906	5963	8869	0.209131	0.58502	0.584311	0	0	0	0.29	0.013	0.003	0.006	0	0.078	0.019	0.019	0.019	0.019	0.527
H0215TS023_4__H0215TS163_5	2906	8567	11473	0.680098	0.682617	0.680098	0	0	0	0.39	0.04	0.009	0.035	0	0.098	0.012	0.012	0.012	0.012	0.658
H0215TS023_5__H0215TS298_5	2906	2904	5810	0.687276	0.687276	0.687276	0	0	0	0.17	0.009	0	0	0	0.11	0.011	0.011	0.011	0.011	0.589
H0215TS028_2__H0215TS052_4	2906	2906	5812	0.87601	0.87601	0.87601	0.161689	0.161689	0.161689	0.2	0.194	0.163	0.163	0.22	0.585	0.132	0.132	0.132	0.132	0.679
H0215TS028_4__H0215TS264_2	2906	2906	5812	0.860357	0.860357	0.860357	0.097326	0.097326	0.097326	0.18	0.074	0.197	0.197	0.09	0.339	0.129	0.129	0.129	0.129	0.679
H0215TS028_5__H0215TS028_4	2906	2906	5812	0.902714	0.902714	0.902714	0	0	0	0.18	0.004	0	0	0	0.172	0.008	0.008	0.008	0.008	0.63
H0215TS052_3__H0215TS028_5	2834	2906	5740	0.829042	0.829042	0.829042	0	0	0	0.18	0	0	0	0	0.113	0.007	0.007	0.007	0.007	0.622
H0215TS052_5__H0215TS298_5	2834	2904	5738	0.856699	0.856699	0.856699	0.150893	0.150893	0.150893	0.17	0.257	0.454	0.454	0.194	0.39	0.286	0.286	0.286	0.286	0.787
H0215TS059_3__H0215TS462_3	2904	2906	5810	0.839636	0.839636	0.839636	0	0	0	0.18	0.06	0.018	0.018	0	0.193	0.023	0.023	0.023	0.023	0.625
H0215TS059_5__H0215TS323_2	2904	2906	5810	0.839046	0.839046	0.839046	0	0	0	0.18	0.042	0.001	0.001	0	0.163	0.016	0.016	0.016	0.016	0.614
H0215TS075_2__H0215TS114_5	2906	9020	11926	0.359458	0.596229	0.595295	0	0.021035	0	0.38	0.047	0.015	0.057	0.005	0.081	0.017	0.017	0.017	0.017	0.455
H0215TS075_4__H0215TS191_5	4793	2765	7558	0.372299	0.376397	0.372299	0	0	0	0.24	0.009	0.001	0.002	0	0.037	0.016	0.016	0.005	0.007	0.366
H0215TS075_5__H0215TS059_4	4793	2904	7697	0.479545	0.480232	0.479545	0.028197	0.028197	0.028197	0.25	0.047	0.119	0.213	0.052	0.171	0.066	0.066	0.022	0.025	0.389
H0215TS079_2__H0215TS468_2	2904	11624	14528	0.374163	0.827702	0.827156	0	0.008077	0.008077	0.52	0.158	0.016	0.13	0.003	0.049	0.116	0.116	0.116	0.116	0.776
H0215TS079_3__H0215TS221_1	2904	2906	5810	0.824323	0.824323	0.824323	0.03339	0.03339	0.03339	0.17	0.158	0.235	0.235	0.082	0.356	0.084	0.084	0.084	0.084	0.663
H0215TS079_4__H0215TS274_1	2904	2904	5808	0.804697	0.804697	0.804697	0	0	0	0.18	0.04	0.01	0.01	0	0.122	0.013	0.013	0.013	0.013	0.61
H0215TS139_2__H0215TS494_1	2904	2904	5808	0.794132	0.794132	0.794132	0	0	0	0.17	0.131	0.019	0.019	0	0.151	0.028	0.028	0.028	0.028	0.601
H0215TS148_4__H0215TS300_3	2906	3925	6831	0.366695	0.653922	0.653922	0	0	0	0.21	0.005	0	0	0	0	0.013	0.013	0.013	0.013	0.519
H0215TS163_1__H0215TS274_3	8567	2904	11471	0.247186	0.250233	0.247186	0	0	0	0.37	0.002	0	0	0	0.068	0.015	0.015	0.002	0.002	0.21
H0215TS163_1__H0215TS337_1	8567	9020	17587	0.206417	0.304474	0.301905	0	0	0	0.68	0	0	0	0	0.014	0	0	0	0	0.25
H0215TS163_4__H0215TS419_1	8567	2906	11473	0.253975	0.254087	0.253975	0	0.000165	0	0.37	0.015	0.017	0.08	0	0.061	0.089	0.089	0.013	0.011	0.204
H0215TS163_5__H0215TS059_2	8567	2904	11471	0.258808	0.26039	0.258808	0	0	0	0.37	0	0	0	0	0.01	0	0	0	0	0.203
H0215TS164_1__H0215TS397_4	8567	14379	22946	0.494851	0.776517	0.495134	0.002229	0.013672	0	0.85	0.062	0.036	0.062	0.013	0.347	0.028	0.031	0.028	0.031	0.362
H0215TS167_3__H0215TS393_1	3925	2906	6831	0.301113	0.63582	0.63582	0	0	0	0.22	0.005	0	0	0	0.112	0.012	0.012	0.006	0.006	0.454
H0215TS191_2__H0215TS052_5	2765	2834	5599	0.632984	0.632984	0.632984	0	0	0	0.17	0.017	0	0	0	0.14	0.01	0.01	0.01	0.01	0.607
H0215TS196_2__H0215TS148_2	2906	2906	5812	0.843961	0.843961	0.843961	0.114631	0.114631	0.114631	0.17	0.244	0.395	0.395	0.156	0.524	0.151	0.151	0.151	0.151	0.725
H0215TS197_1__H0215TS298_3	2902	2904	5806	0.747838	0.747838	0.747838	0	0	0	0.18	0.031	0.028	0.028	0	0.164	0.014	0.014	0.014	0.014	0.6
H0215TS208_2__H0215TS311_3	2906	5812	8718	0.402911	0.869481	0.867303	0	0.049832	0	0.28	0.164	0.062	0.12	0.073	0.164	0.095	0.095	0.095	0.095	0.667
H0215TS208_4__H0215TS262_3	2906	2904	5810	0.822505	0.822505	0.822505	0	0	0	0.17	0.002	0	0	0	0.225	0.007	0.007	0.007	0.007	0.615
H0215TS208_5__H0215TS147_4	2906	2906	5812	0.841845	0.841845	0.841845	0	0	0	0.19	0.01	0	0	0	0.13	0.008	0.008	0.008	0.008	0.619
H0215TS208_5__H0215TS388_5	2906	2904	5810	0.831083	0.831083	0.831083	0	0	0	0.18	0	0	0	0	0	0.013	0.013	0.013	0.013	0.603
H0215TS221_1__H0215TS139_3	2906	2904	5810	0.837696	0.837696	0.837696	0.087526	0.087526	0.087526	0.17	0.252	0.449	0.449	0.228	0.408	0.21	0.21	0.21	0.21	0.791
H0215TS221_5__H0215TS015_2	2906	2906	5812	0.837499	0.837499	0.837499	0	0	0	0.17	0.082	0.003	0.003	0	0.125	0.026	0.026	0.026	0.026	0.628
H0215TS241_5__H0215TS079_3	12492	2904	15396	0.084545	0.185087	0.184899	0	0.000475	0	0.54	0.008	0.016	0.144	0.007	0.039	0.053	0.053	0.004	0.002	0.163
H0215TS261_4__H0215TS148_2	2904	2906	5810	0.720487	0.720487	0.720487	0	0	0	0.17	0.001	0	0	0	0	0.017	0.017	0.017	0.017	0.596
