threshold_percents	cluster_id	representative	cluster_size
90	98	M1239v2TS033_2	1
90	99	M1239v2TS033_3	1
90	100	M1239v2TS033_4	1
90	101	M1239v2TS033_5	1
90	102	M1239v2TS110_3	1
90	103	M1239v2TS110_4	1
90	104	M1239v2TS204_3	1
90	105	M1239v2TS204_4	1
90	106	M1239v2TS204_5	1
90	107	M1239v2TS208_1	1
90	108	M1239v2TS208_2	1
90	109	M1239v2TS208_3	1
90	110	M1239v2TS208_4	1
90	111	M1239v2TS208_5	1
90	112	M1239v2TS231_1	1
90	113	M1239v2TS231_2	1
90	114	M1239v2TS231_3	1
90	115	M1239v2TS231_4	1
90	116	M1239v2TS231_5	1
90	117	M1239v2TS235_1	1
90	118	M1239v2TS235_2	1
90	119	M1239v2TS235_3	1
90	120	M1239v2TS235_4	1
90	121	M1239v2TS235_5	1
90	122	M1239v2TS241_1	1
90	123	M1239v2TS241_2	1
90	124	M1239v2TS241_3	1
90	125	M1239v2TS241_4	1
90	126	M1239v2TS241_5	1
90	127	M1239v2TS262_1	1
90	128	M1239v2TS262_3	1
90	129	M1239v2TS262_5	1
90	130	M1239v2TS286_1	1
90	131	M1239v2TS286_2	1
90	132	M1239v2TS286_3	1
90	133	M1239v2TS286_4	1
90	134	M1239v2TS286_5	1
90	135	M1239v2TS294_1	1
90	136	M1239v2TS294_2	1
90	137	M1239v2TS294_3	1
90	138	M1239v2TS294_4	1
90	139	M1239v2TS294_5	1
90	140	M1239v2TS304_1	1
90	141	M1239v2TS304_2	1
90	142	M1239v2TS304_3	1
90	143	M1239v2TS304_4	1
90	144	M1239v2TS304_5	1
90	145	M1239v2TS462_1	1
90	146	M1239v2TS462_2	1
90	147	M1239v2TS462_3	1
90	148	M1239v2TS462_4	1
90	149	M1239v2TS462_5	1
90	150	M1239v2TS481_1	1
90	151	M1239v2TS481_2	1
90	152	M1239v2TS481_3	1
90	153	M1239v2TS481_4	1
90	154	M1239v2TS481_5	1
90	155	M1239v2TS489_1	1
90	156	M1239v2TS489_2	1
90	157	M1239v2TS489_3	1
90	158	M1239v2TS489_4	1
90	159	M1239v2TS489_5	1

