model	rmsd
model_1a30_942.cif	7.33
model_1a30_944.cif	8.69
model_1a30_955.cif	9.33
model_1a30_972.cif	8.83
model_1a30_985.cif	8.63
model_1a30_992.cif	3.16
model_1a30_997.cif	8.43
model_1a30_999.cif	7.88
model_1a30_ligand.cif	0.00
model_1bcu_11.cif	1.00
model_1bcu_220.cif	1.13
model_1bcu_270.cif	3.32
model_1bcu_309.cif	0.36
model_1bcu_33.cif	1.20
model_1bcu_334.cif	0.63
model_1bcu_362.cif	0.59
model_1bcu_397.cif	0.66
model_1bcu_406.cif	0.87
model_1bcu_424.cif	1.83
model_1bcu_442.cif	1.96
model_1bcu_451.cif	3.56
model_1bcu_454.cif	4.57
model_1bcu_462.cif	2.53
model_1bcu_469.cif	2.57
model_1bcu_473.cif	2.56
model_1bcu_479.cif	1.44
model_1bcu_483.cif	2.15
model_1bcu_495.cif	1.78
model_1bcu_564.cif	6.11
model_1bcu_585.cif	5.89
model_1bcu_591.cif	4.49
model_1bcu_595.cif	3.32
model_1bcu_608.cif	6.86
model_1bcu_617.cif	2.90
model_1bcu_634.cif	2.55
model_1bcu_653.cif	3.25
model_1bcu_661.cif	2.08
model_1bcu_684.cif	0.92
model_1bcu_695.cif	3.45
model_1bcu_701.cif	1.86
model_1bcu_703.cif	0.61
model_1bcu_708.cif	8.32
model_1bcu_712.cif	8.21
model_1bcu_715.cif	6.42
model_1bcu_717.cif	7.05
model_1bcu_718.cif	9.18
model_1bcu_720.cif	4.76
model_1bcu_725.cif	6.31
model_1bcu_729.cif	5.07
model_1bcu_738.cif	6.50
model_1bcu_741.cif	8.39
model_1bcu_742.cif	7.62
model_1bcu_745.cif	7.58
model_1bcu_749.cif	7.82
model_1bcu_752.cif	6.43
model_1bcu_753.cif	9.22
model_1bcu_754.cif	8.10
model_1bcu_756.cif	6.01
model_1bcu_758.cif	8.42
model_1bcu_761.cif	8.50
model_1bcu_764.cif	8.80
model_1bcu_765.cif	9.97
model_1bcu_772.cif	7.13
model_1bcu_773.cif	9.20
model_1bcu_777.cif	9.12
model_1bcu_778.cif	9.89
model_1bcu_782.cif	9.55
model_1bcu_788.cif	9.65
model_1bcu_790.cif	9.39
model_1bcu_803.cif	2.07
model_1bcu_806.cif	0.71
model_1bcu_813.cif	7.67
model_1bcu_825.cif	1.24
model_1bcu_828.cif	3.52
model_1bcu_829.cif	3.82
model_1bcu_843.cif	6.52
model_1bcu_850.cif	7.67
model_1bcu_852.cif	2.22
model_1bcu_855.cif	6.79
model_1bcu_862.cif	9.04
model_1bcu_869.cif	4.13
model_1bcu_878.cif	5.73
model_1bcu_881.cif	7.74
model_1bcu_885.cif	5.10
model_1bcu_886.cif	5.71
model_1bcu_887.cif	4.26
model_1bcu_888.cif	5.26
model_1bcu_890.cif	4.30
model_1bcu_893.cif	8.62
model_1bcu_898.cif	5.45
model_1bcu_903.cif	1.58
model_1bcu_915.cif	7.97
model_1bcu_919.cif	3.86
model_1bcu_920.cif	3.43
model_1bcu_923.cif	0.75
model_1bcu_931.cif	7.49
model_1bcu_933.cif	5.12
model_1bcu_939.cif	4.45
model_1bcu_949.cif	3.25
model_1bcu_967.cif	4.74
model_1bcu_971.cif	8.05
model_1bcu_977.cif	4.69
model_1bcu_980.cif	5.75
model_1bcu_981.cif	2.98
model_1bcu_983.cif	4.69
model_1bcu_984.cif	8.42
model_1bcu_989.cif	5.64
model_1bcu_991.cif	6.66
model_1bcu_996.cif	1.92
model_1bcu_ligand.cif	0.00
model_1bzc_101.cif	5.24
model_1bzc_111.cif	4.98
model_1bzc_142.cif	1.30
model_1bzc_190.cif	0.68
model_1bzc_217.cif	0.75
model_1bzc_223.cif	0.77
model_1bzc_225.cif	1.01
model_1bzc_260.cif	2.01
model_1bzc_265.cif	0.70
model_1bzc_300.cif	0.76
model_1bzc_323.cif	0.74
model_1bzc_375.cif	0.69
model_1bzc_409.cif	8.42
model_1bzc_412.cif	5.63
model_1bzc_414.cif	7.55
model_1bzc_427.cif	5.29
model_1bzc_43.cif	0.83
model_1bzc_439.cif	5.75
model_1bzc_440.cif	4.88
model_1bzc_443.cif	8.24
model_1bzc_449.cif	7.59
model_1bzc_461.cif	2.98
model_1bzc_463.cif	8.03
model_1bzc_464.cif	5.34
model_1bzc_466.cif	1.99
model_1bzc_469.cif	3.03
model_1bzc_473.cif	5.26
model_1bzc_481.cif	3.38
model_1bzc_487.cif	4.60
model_1bzc_502.cif	1.75
model_1bzc_504.cif	1.40
model_1bzc_522.cif	3.16
model_1bzc_524.cif	2.61
model_1bzc_526.cif	1.76
model_1bzc_527.cif	0.96
model_1bzc_530.cif	1.49
model_1bzc_539.cif	1.75
model_1bzc_546.cif	2.88
model_1bzc_549.cif	3.19
model_1bzc_556.cif	1.77
model_1bzc_558.cif	2.77
model_1bzc_566.cif	7.26
model_1bzc_577.cif	2.02
model_1bzc_579.cif	3.13
model_1bzc_588.cif	2.12
model_1bzc_592.cif	2.62
model_1bzc_593.cif	1.71
model_1bzc_597.cif	2.89
model_1bzc_608.cif	9.65
model_1bzc_611.cif	5.64
model_1bzc_614.cif	2.74
model_1bzc_615.cif	6.34
model_1bzc_620.cif	7.19
model_1bzc_622.cif	6.48
model_1bzc_625.cif	3.30
model_1bzc_629.cif	3.24
model_1bzc_633.cif	3.01
model_1bzc_644.cif	6.81
model_1bzc_651.cif	6.25
model_1bzc_652.cif	6.78
model_1bzc_659.cif	9.03
model_1bzc_660.cif	8.50
model_1bzc_664.cif	7.73
model_1bzc_666.cif	7.35
model_1bzc_669.cif	3.39
model_1bzc_670.cif	7.21
model_1bzc_671.cif	6.55
model_1bzc_674.cif	5.75
model_1bzc_677.cif	4.03
model_1bzc_681.cif	5.84
model_1bzc_682.cif	7.89
model_1bzc_686.cif	8.52
model_1bzc_688.cif	8.71
model_1bzc_690.cif	6.48
model_1bzc_694.cif	5.40
model_1bzc_700.cif	7.09
model_1bzc_709.cif	0.68
model_1bzc_778.cif	7.27
model_1bzc_963.cif	3.03
model_1bzc_ligand.cif	0.00
model_1c5z_247.cif	0.61
model_1c5z_258.cif	0.92
model_1c5z_3.cif	0.40
model_1c5z_402.cif	0.87
model_1c5z_415.cif	2.67
model_1c5z_425.cif	1.20
model_1c5z_427.cif	0.92
model_1c5z_431.cif	1.11
model_1c5z_438.cif	2.90
model_1c5z_449.cif	0.72
model_1c5z_452.cif	0.77
model_1c5z_460.cif	1.66
model_1c5z_465.cif	0.97
model_1c5z_482.cif	1.87
model_1c5z_509.cif	6.50
model_1c5z_516.cif	6.77
model_1c5z_519.cif	2.74
model_1c5z_520.cif	4.73
model_1c5z_530.cif	1.33
model_1c5z_536.cif	7.12
model_1c5z_537.cif	2.81
model_1c5z_542.cif	5.43
model_1c5z_544.cif	5.28
model_1c5z_546.cif	3.74
model_1c5z_556.cif	3.94
model_1c5z_558.cif	3.63
model_1c5z_563.cif	3.98
model_1c5z_564.cif	3.16
model_1c5z_577.cif	1.71
model_1c5z_583.cif	6.86
model_1c5z_586.cif	2.11
model_1c5z_590.cif	5.14
model_1c5z_593.cif	3.44
model_1c5z_596.cif	4.78
model_1c5z_607.cif	1.50
model_1c5z_613.cif	2.12
model_1c5z_627.cif	0.96
model_1c5z_642.cif	1.33
model_1c5z_661.cif	2.51
model_1c5z_665.cif	1.46
model_1c5z_698.cif	2.04
model_1c5z_700.cif	1.46
model_1c5z_711.cif	4.44
model_1c5z_715.cif	5.33
model_1c5z_722.cif	6.90
model_1c5z_733.cif	7.08
model_1c5z_734.cif	3.50
model_1c5z_738.cif	6.40
model_1c5z_739.cif	7.05
model_1c5z_741.cif	5.85
model_1c5z_743.cif	7.12
model_1c5z_753.cif	5.80
model_1c5z_754.cif	6.02
model_1c5z_759.cif	4.75
model_1c5z_761.cif	6.74
model_1c5z_763.cif	6.84
model_1c5z_765.cif	7.86
model_1c5z_766.cif	7.59
model_1c5z_776.cif	2.19
model_1c5z_781.cif	5.45
model_1c5z_790.cif	4.78
model_1c5z_8.cif	0.45
model_1c5z_804.cif	4.11
model_1c5z_805.cif	3.17
model_1c5z_811.cif	3.92
model_1c5z_826.cif	5.00
model_1c5z_828.cif	5.04
model_1c5z_829.cif	7.08
model_1c5z_836.cif	7.00
model_1c5z_839.cif	2.99
model_1c5z_840.cif	6.70
model_1c5z_844.cif	4.80
model_1c5z_862.cif	5.83
model_1c5z_892.cif	4.77
model_1c5z_898.cif	5.20
model_1c5z_931.cif	3.86
model_1c5z_937.cif	7.08
model_1c5z_953.cif	7.03
model_1c5z_955.cif	7.21
model_1c5z_959.cif	4.24
model_1c5z_ligand.cif	0.00
model_1e66_158.cif	0.56
model_1e66_247.cif	0.71
model_1e66_402.cif	0.66
model_1e66_404.cif	0.97
model_1e66_406.cif	0.86
model_1e66_412.cif	1.29
model_1e66_419.cif	0.97
model_1e66_422.cif	1.50
model_1e66_429.cif	1.55
model_1e66_440.cif	1.57
model_1e66_442.cif	3.97
model_1e66_466.cif	1.94
model_1e66_467.cif	1.61
model_1e66_468.cif	2.90
model_1e66_477.cif	2.06
model_1e66_483.cif	1.57
model_1e66_484.cif	1.51
model_1e66_489.cif	4.05
model_1e66_495.cif	3.27
model_1e66_498.cif	4.30
model_1e66_504.cif	3.90
model_1e66_505.cif	3.57
model_1e66_550.cif	4.33
model_1e66_551.cif	5.76
model_1e66_552.cif	6.23
model_1e66_553.cif	6.45
model_1e66_573.cif	6.06
model_1e66_574.cif	6.10
model_1e66_577.cif	5.60
model_1e66_587.cif	2.43
model_1e66_589.cif	2.27
model_1e66_591.cif	6.88
model_1e66_617.cif	4.97
model_1e66_633.cif	5.58
model_1e66_656.cif	2.77
model_1e66_661.cif	2.74
model_1e66_678.cif	3.02
model_1e66_700.cif	3.37
model_1e66_702.cif	5.32
model_1e66_712.cif	1.76
model_1e66_733.cif	6.20
model_1e66_744.cif	4.25
model_1e66_746.cif	3.80
model_1e66_754.cif	5.23
model_1e66_755.cif	5.60
model_1e66_761.cif	2.36
model_1e66_763.cif	6.26
model_1e66_767.cif	3.53
model_1e66_768.cif	2.89
model_1e66_771.cif	6.06
model_1e66_772.cif	6.26
model_1e66_774.cif	1.09
model_1e66_787.cif	0.60
model_1e66_806.cif	4.29
model_1e66_807.cif	5.03
model_1e66_810.cif	4.76
model_1e66_823.cif	6.22
model_1e66_841.cif	2.84
model_1e66_842.cif	4.77
model_1e66_859.cif	3.41
model_1e66_860.cif	5.85
model_1e66_862.cif	3.89
model_1e66_863.cif	2.51
model_1e66_865.cif	4.57
model_1e66_867.cif	4.39
model_1e66_870.cif	5.70
model_1e66_891.cif	0.78
model_1e66_907.cif	0.85
model_1e66_909.cif	0.98
model_1e66_921.cif	5.46
model_1e66_ligand.cif	0.00
model_1eby_169.cif	9.11
model_1eby_211.cif	0.97
model_1eby_217.cif	0.99
model_1eby_218.cif	2.34
model_1eby_223.cif	0.84
model_1eby_231.cif	2.09
model_1eby_233.cif	1.83
model_1eby_237.cif	2.52
model_1eby_238.cif	0.95
model_1eby_244.cif	1.20
model_1eby_245.cif	2.01
model_1eby_255.cif	2.53
model_1eby_259.cif	2.57
model_1eby_262.cif	1.01
model_1eby_265.cif	0.78
model_1eby_266.cif	2.03
model_1eby_269.cif	0.88
model_1eby_271.cif	1.78
model_1eby_279.cif	1.87
model_1eby_294.cif	1.86
model_1eby_295.cif	0.87
model_1eby_297.cif	3.36
model_1eby_299.cif	0.81
model_1eby_326.cif	1.90
model_1eby_350.cif	9.69
model_1eby_361.cif	0.86
model_1eby_364.cif	0.95
model_1eby_372.cif	9.30
model_1eby_414.cif	3.78
model_1eby_416.cif	2.57
model_1eby_444.cif	3.95
model_1eby_447.cif	2.72
model_1eby_453.cif	3.34
model_1eby_456.cif	4.57
model_1eby_464.cif	4.14
model_1eby_470.cif	3.63
model_1eby_472.cif	3.00
model_1eby_473.cif	3.64
model_1eby_477.cif	3.19
model_1eby_481.cif	4.94
model_1eby_488.cif	4.11
model_1eby_490.cif	4.07
model_1eby_493.cif	5.95
model_1eby_499.cif	3.31
model_1eby_503.cif	7.81
model_1eby_507.cif	8.97
model_1eby_514.cif	5.84
model_1eby_517.cif	9.23
model_1eby_519.cif	6.00
model_1eby_531.cif	5.54
model_1eby_532.cif	7.62
model_1eby_535.cif	6.95
model_1eby_538.cif	4.05
model_1eby_540.cif	5.14
model_1eby_548.cif	5.42
model_1eby_556.cif	6.33
model_1eby_563.cif	4.31
model_1eby_569.cif	9.79
model_1eby_571.cif	4.16
model_1eby_572.cif	8.96
model_1eby_573.cif	9.44
model_1eby_575.cif	7.09
model_1eby_576.cif	6.47
model_1eby_580.cif	9.20
model_1eby_582.cif	7.83
model_1eby_584.cif	8.02
model_1eby_595.cif	8.64
model_1eby_597.cif	7.06
model_1eby_600.cif	9.68
model_1eby_634.cif	6.49
model_1eby_641.cif	8.77
model_1eby_645.cif	8.97
model_1eby_647.cif	8.55
model_1eby_649.cif	7.17
model_1eby_658.cif	4.63
model_1eby_659.cif	7.66
model_1eby_667.cif	6.11
model_1eby_673.cif	8.49
model_1eby_688.cif	6.71
model_1eby_689.cif	6.87
model_1eby_694.cif	8.41
model_1eby_731.cif	3.12
model_1eby_741.cif	6.51
model_1eby_751.cif	7.57
model_1eby_763.cif	4.94
model_1eby_767.cif	7.17
model_1eby_769.cif	6.10
model_1eby_770.cif	5.02
model_1eby_771.cif	9.27
model_1eby_772.cif	5.36
model_1eby_773.cif	8.41
model_1eby_774.cif	5.98
model_1eby_777.cif	9.30
model_1eby_779.cif	7.25
model_1eby_791.cif	5.73
model_1eby_792.cif	6.30
model_1eby_803.cif	1.78
model_1eby_813.cif	1.74
model_1eby_826.cif	3.01
model_1eby_848.cif	1.50
model_1eby_ligand.cif	0.00
model_1g2k_209.cif	1.05
model_1g2k_225.cif	0.70
model_1g2k_242.cif	1.13
model_1g2k_247.cif	0.64
model_1g2k_248.cif	0.99
model_1g2k_265.cif	0.69
model_1g2k_271.cif	0.51
model_1g2k_283.cif	1.01
model_1g2k_290.cif	1.24
model_1g2k_294.cif	0.96
model_1g2k_295.cif	1.17
model_1g2k_306.cif	2.67
model_1g2k_328.cif	0.54
model_1g2k_403.cif	2.84
model_1g2k_404.cif	4.06
model_1g2k_408.cif	3.69
model_1g2k_417.cif	2.55
model_1g2k_420.cif	3.87
model_1g2k_436.cif	5.04
model_1g2k_454.cif	6.93
model_1g2k_456.cif	4.33
model_1g2k_458.cif	5.04
model_1g2k_460.cif	3.65
model_1g2k_462.cif	4.47
model_1g2k_466.cif	4.19
model_1g2k_467.cif	4.58
model_1g2k_468.cif	3.44
model_1g2k_469.cif	2.57
model_1g2k_473.cif	5.80
model_1g2k_475.cif	2.83
model_1g2k_482.cif	2.96
model_1g2k_487.cif	5.95
model_1g2k_497.cif	3.21
model_1g2k_502.cif	3.76
model_1g2k_504.cif	2.18
model_1g2k_516.cif	6.05
model_1g2k_52.cif	0.75
model_1g2k_520.cif	6.86
model_1g2k_521.cif	9.60
model_1g2k_530.cif	6.58
model_1g2k_543.cif	8.75
model_1g2k_546.cif	7.10
model_1g2k_551.cif	7.24
model_1g2k_556.cif	3.60
model_1g2k_565.cif	7.16
model_1g2k_566.cif	5.77
model_1g2k_568.cif	7.33
model_1g2k_569.cif	7.53
model_1g2k_573.cif	7.26
model_1g2k_582.cif	9.06
model_1g2k_584.cif	7.81
model_1g2k_588.cif	9.10
model_1g2k_589.cif	8.88
model_1g2k_590.cif	6.20
model_1g2k_591.cif	6.83
model_1g2k_592.cif	7.32
model_1g2k_597.cif	8.52
model_1g2k_598.cif	6.38
model_1g2k_600.cif	4.44
model_1g2k_606.cif	9.93
model_1g2k_607.cif	6.67
model_1g2k_610.cif	3.30
model_1g2k_617.cif	5.34
model_1g2k_621.cif	3.89
model_1g2k_624.cif	5.90
model_1g2k_625.cif	6.12
model_1g2k_639.cif	2.34
model_1g2k_640.cif	9.37
model_1g2k_644.cif	4.52
model_1g2k_645.cif	2.99
model_1g2k_646.cif	4.51
model_1g2k_649.cif	6.60
model_1g2k_650.cif	5.06
model_1g2k_652.cif	4.45
model_1g2k_654.cif	9.57
model_1g2k_663.cif	8.37
model_1g2k_668.cif	9.31
model_1g2k_670.cif	9.23
model_1g2k_673.cif	9.15
model_1g2k_675.cif	3.22
model_1g2k_677.cif	5.99
model_1g2k_679.cif	7.56
model_1g2k_683.cif	5.12
model_1g2k_684.cif	8.65
model_1g2k_690.cif	7.53
model_1g2k_705.cif	1.73
model_1g2k_736.cif	1.71
model_1g2k_737.cif	1.61
model_1g2k_74.cif	0.60
model_1g2k_762.cif	1.94
model_1g2k_771.cif	2.01
model_1g2k_874.cif	1.39
model_1g2k_900.cif	0.92
model_1g2k_98.cif	4.89
model_1g2k_ligand.cif	0.00
model_1gpk_159.cif	0.76
model_1gpk_182.cif	0.91
model_1gpk_194.cif	0.62
model_1gpk_231.cif	3.41
model_1gpk_239.cif	0.35
model_1gpk_267.cif	1.90
model_1gpk_280.cif	1.96
model_1gpk_328.cif	0.52
model_1gpk_364.cif	0.26
model_1gpk_404.cif	3.65
model_1gpk_407.cif	0.79
model_1gpk_409.cif	0.90
model_1gpk_415.cif	1.62
model_1gpk_419.cif	1.13
model_1gpk_420.cif	1.96
model_1gpk_427.cif	1.13
model_1gpk_428.cif	3.01
model_1gpk_429.cif	1.77
model_1gpk_437.cif	2.13
model_1gpk_450.cif	2.99
model_1gpk_46.cif	0.48
model_1gpk_460.cif	2.11
model_1gpk_463.cif	1.44
model_1gpk_465.cif	0.96
model_1gpk_473.cif	1.85
model_1gpk_477.cif	4.01
model_1gpk_494.cif	3.88
model_1gpk_496.cif	2.69
model_1gpk_548.cif	4.69
model_1gpk_560.cif	4.34
model_1gpk_569.cif	4.24
model_1gpk_571.cif	1.47
model_1gpk_577.cif	5.03
model_1gpk_578.cif	4.58
model_1gpk_583.cif	2.74
model_1gpk_588.cif	3.04
model_1gpk_590.cif	5.43
model_1gpk_600.cif	3.59
model_1gpk_609.cif	3.71
model_1gpk_612.cif	5.10
model_1gpk_625.cif	6.56
model_1gpk_641.cif	4.45
model_1gpk_660.cif	2.16
model_1gpk_666.cif	3.80
model_1gpk_668.cif	2.63
model_1gpk_67.cif	3.73
model_1gpk_683.cif	5.07
model_1gpk_689.cif	4.17
model_1gpk_697.cif	4.51
model_1gpk_700.cif	5.38
model_1gpk_735.cif	4.18
model_1gpk_764.cif	9.25
model_1gpk_779.cif	9.91
model_1gpk_782.cif	5.34
model_1gpk_783.cif	9.91
model_1gpk_785.cif	5.98
model_1gpk_788.cif	5.02
model_1gpk_793.cif	4.38
model_1gpk_794.cif	2.75
model_1gpk_850.cif	5.15
model_1gpk_874.cif	5.16
model_1gpk_95.cif	2.02
model_1gpk_984.cif	2.20
model_1gpk_988.cif	3.13
model_1gpk_ligand.cif	0.00
model_1gpn_109.cif	1.21
model_1gpn_252.cif	0.37
model_1gpn_299.cif	0.35
model_1gpn_330.cif	0.51
model_1gpn_401.cif	0.98
model_1gpn_404.cif	1.47
model_1gpn_405.cif	0.56
model_1gpn_407.cif	0.58
model_1gpn_422.cif	2.28
model_1gpn_435.cif	1.00
model_1gpn_443.cif	0.92
model_1gpn_446.cif	2.85
model_1gpn_451.cif	1.40
model_1gpn_459.cif	3.82
model_1gpn_466.cif	3.70
model_1gpn_471.cif	1.91
model_1gpn_475.cif	1.16
model_1gpn_477.cif	0.95
model_1gpn_481.cif	4.06
model_1gpn_483.cif	3.44
model_1gpn_490.cif	3.71
model_1gpn_549.cif	2.79
model_1gpn_551.cif	4.48
model_1gpn_553.cif	5.58
model_1gpn_555.cif	2.43
model_1gpn_556.cif	4.07
model_1gpn_578.cif	4.42
model_1gpn_589.cif	2.46
model_1gpn_596.cif	3.84
model_1gpn_600.cif	1.09
model_1gpn_61.cif	0.87
model_1gpn_615.cif	2.57
model_1gpn_617.cif	3.35
model_1gpn_638.cif	1.93
model_1gpn_653.cif	3.15
model_1gpn_657.cif	4.26
model_1gpn_658.cif	2.56
model_1gpn_662.cif	1.33
model_1gpn_675.cif	1.85
model_1gpn_682.cif	4.64
model_1gpn_683.cif	3.04
model_1gpn_684.cif	5.41
model_1gpn_689.cif	1.40
model_1gpn_759.cif	3.14
model_1gpn_768.cif	5.51
model_1gpn_775.cif	2.95
model_1gpn_779.cif	2.88
model_1gpn_781.cif	4.18
model_1gpn_782.cif	2.28
model_1gpn_784.cif	6.02
model_1gpn_785.cif	3.08
model_1gpn_786.cif	6.04
model_1gpn_794.cif	4.77
model_1gpn_796.cif	5.37
model_1gpn_868.cif	4.02
model_1gpn_885.cif	4.46
model_1gpn_ligand.cif	0.00
model_1h22_1.cif	7.35
model_1h22_12.cif	3.06
model_1h22_140.cif	2.93
model_1h22_156.cif	1.04
model_1h22_186.cif	2.91
model_1h22_187.cif	1.33
model_1h22_197.cif	1.28
model_1h22_212.cif	1.93
model_1h22_225.cif	4.97
model_1h22_231.cif	4.97
model_1h22_238.cif	2.56
model_1h22_241.cif	3.99
model_1h22_261.cif	3.77
model_1h22_267.cif	3.71
model_1h22_276.cif	3.55
model_1h22_288.cif	5.25
model_1h22_291.cif	4.13
model_1h22_292.cif	1.79
model_1h22_300.cif	3.00
model_1h22_311.cif	7.24
model_1h22_313.cif	7.61
model_1h22_319.cif	3.94
model_1h22_346.cif	0.64
model_1h22_354.cif	5.10
model_1h22_363.cif	0.86
model_1h22_384.cif	1.95
model_1h22_393.cif	2.01
model_1h22_4.cif	2.02
model_1h22_403.cif	4.39
model_1h22_423.cif	3.76
model_1h22_442.cif	5.13
model_1h22_448.cif	1.96
model_1h22_464.cif	4.15
model_1h22_471.cif	4.54
model_1h22_477.cif	6.33
model_1h22_494.cif	4.00
model_1h22_506.cif	3.90
model_1h22_512.cif	3.27
model_1h22_527.cif	4.15
model_1h22_535.cif	5.21
model_1h22_540.cif	4.78
model_1h22_543.cif	6.71
model_1h22_565.cif	7.07
model_1h22_569.cif	5.01
model_1h22_573.cif	5.11
model_1h22_590.cif	6.50
model_1h22_595.cif	5.62
model_1h22_596.cif	7.90
model_1h22_606.cif	5.33
model_1h22_651.cif	6.71
model_1h22_653.cif	6.86
model_1h22_679.cif	6.33
model_1h22_685.cif	5.79
model_1h22_692.cif	6.13
model_1h22_716.cif	2.98
model_1h22_722.cif	1.67
model_1h22_738.cif	2.59
model_1h22_75.cif	6.15
model_1h22_772.cif	7.39
model_1h22_774.cif	5.17
model_1h22_777.cif	7.50
model_1h22_783.cif	7.48
model_1h22_786.cif	6.13
model_1h22_788.cif	7.26
model_1h22_812.cif	1.92
model_1h22_828.cif	4.47
model_1h22_852.cif	1.55
model_1h22_864.cif	4.94
model_1h22_89.cif	7.32
model_1h22_918.cif	2.02
model_1h22_95.cif	2.96
model_1h22_957.cif	6.18
model_1h22_ligand.cif	0.00
model_1h23_12.cif	1.81
model_1h23_138.cif	6.25
model_1h23_140.cif	6.19
model_1h23_163.cif	2.26
model_1h23_185.cif	1.18
model_1h23_198.cif	2.85
model_1h23_205.cif	3.71
model_1h23_209.cif	5.73
model_1h23_221.cif	5.12
model_1h23_238.cif	2.91
model_1h23_24.cif	3.99
model_1h23_242.cif	4.68
model_1h23_253.cif	3.65
model_1h23_262.cif	4.42
model_1h23_277.cif	5.72
model_1h23_296.cif	4.89
model_1h23_304.cif	1.84
model_1h23_335.cif	1.86
model_1h23_347.cif	0.89
model_1h23_370.cif	7.49
model_1h23_377.cif	7.40
model_1h23_403.cif	5.80
model_1h23_425.cif	6.66
model_1h23_43.cif	1.38
model_1h23_432.cif	3.95
model_1h23_438.cif	5.20
model_1h23_451.cif	4.11
model_1h23_471.cif	2.99
model_1h23_476.cif	2.94
model_1h23_496.cif	5.95
model_1h23_5.cif	2.81
model_1h23_549.cif	6.45
model_1h23_552.cif	5.92
model_1h23_579.cif	4.60
model_1h23_584.cif	4.00
model_1h23_588.cif	7.01
model_1h23_589.cif	6.97
model_1h23_590.cif	4.17
model_1h23_597.cif	6.23
model_1h23_621.cif	4.26
model_1h23_640.cif	5.50
model_1h23_641.cif	6.12
model_1h23_643.cif	9.64
model_1h23_648.cif	7.22
model_1h23_660.cif	4.34
model_1h23_663.cif	5.64
model_1h23_667.cif	7.95
model_1h23_669.cif	6.29
model_1h23_676.cif	7.95
model_1h23_678.cif	6.12
model_1h23_686.cif	7.52
model_1h23_69.cif	4.90
model_1h23_699.cif	3.86
model_1h23_728.cif	1.77
model_1h23_732.cif	1.93
model_1h23_77.cif	6.11
model_1h23_783.cif	1.22
model_1h23_8.cif	3.95
model_1h23_81.cif	2.93
model_1h23_815.cif	1.15
model_1h23_818.cif	2.65
model_1h23_82.cif	3.84
model_1h23_88.cif	5.14
model_1h23_90.cif	1.61
model_1h23_913.cif	2.33
model_1h23_921.cif	3.96
model_1h23_964.cif	4.15
model_1h23_98.cif	2.73
model_1h23_99.cif	3.97
model_1h23_ligand.cif	0.00
model_1k1i_108.cif	5.05
model_1k1i_115.cif	1.64
model_1k1i_159.cif	6.06
model_1k1i_167.cif	4.18
model_1k1i_171.cif	1.65
model_1k1i_172.cif	4.90
model_1k1i_201.cif	3.34
model_1k1i_204.cif	1.78
model_1k1i_207.cif	6.13
model_1k1i_214.cif	5.08
model_1k1i_247.cif	5.70
model_1k1i_250.cif	4.90
model_1k1i_252.cif	5.34
model_1k1i_253.cif	3.75
model_1k1i_258.cif	2.34
model_1k1i_260.cif	3.67
model_1k1i_273.cif	4.26
model_1k1i_275.cif	5.20
model_1k1i_282.cif	6.05
model_1k1i_287.cif	4.02
model_1k1i_295.cif	1.29
model_1k1i_306.cif	4.52
model_1k1i_308.cif	3.94
model_1k1i_355.cif	5.15
model_1k1i_357.cif	4.12
model_1k1i_358.cif	4.85
model_1k1i_36.cif	2.30
model_1k1i_37.cif	2.23
